componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,218,97,76,43,26,BRC1021B,Nome não encontrado
Energia,kcal,53,23,18,10,6,BRC1021B,Nome não encontrado
Umidade,g,"90,9","40,9","31,8","18,2","10,9",BRC1021B,Nome não encontrado
Carboidrato total,g,"2,37","1,07","0,83","0,47","0,28",BRC1021B,Nome não encontrado
Carboidrato disponível,g,"0,46","0,21","0,16","0,09","0,05",BRC1021B,Nome não encontrado
Proteína,g,"0,86","0,39","0,30","0,17","0,10",BRC1021B,Nome não encontrado
Lipídios,g,"4,86","2,19","1,70","0,97","0,58",BRC1021B,Nome não encontrado
Fibra alimentar,g,"1,91","0,86","0,67","0,38","0,23",BRC1021B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Cinzas,g,"0,97","0,43","0,34","0,19","0,12",BRC1021B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Ácidos graxos saturados,g,"0,71","0,32","0,25","0,14","0,08",BRC1021B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,42","1,54","1,20","0,68","0,41",BRC1021B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,59","0,26","0,20","0,12","0,07",BRC1021B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Cálcio,mg,"32,2","14,5","11,3","6,44","3,87",BRC1021B,Nome não encontrado
Ferro,mg,"2,38","1,07","0,83","0,48","0,29",BRC1021B,Nome não encontrado
Sódio,mg,134,"60,6","47,1","26,9","16,2",BRC1021B,Nome não encontrado
Magnésio,mg,"8,85","3,98","3,10","1,77","1,06",BRC1021B,Nome não encontrado
Fósforo,mg,"48,6","21,9","17,0","9,71","5,83",BRC1021B,Nome não encontrado
Potássio,mg,293,131,102,"58,6","35,2",BRC1021B,Nome não encontrado
Manganês,mg,"0,11","0,05","0,04","0,02","0,01",BRC1021B,Nome não encontrado
Zinco,mg,"0,22","0,10","0,08","0,04","0,03",BRC1021B,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,01","0,00",BRC1021B,Nome não encontrado
Selênio,mcg,"0,19","0,09","0,07","0,04","0,02",BRC1021B,Nome não encontrado
Vitamina A (RE),mcg,296,133,103,"59,2","35,5",BRC1021B,Nome não encontrado
Vitamina A (RAE),mcg,148,"66,6","51,8","29,6","17,8",BRC1021B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,99","0,44","0,34","0,20","0,12",BRC1021B,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Vitamina C,mg,"12,8","5,76","4,48","2,56","1,54",BRC1021B,Nome não encontrado
Equivalente de folato,mcg,"33,5","15,1","11,7","6,70","4,02",BRC1021B,Nome não encontrado
Sal de adição,g,"0,32","0,14","0,11","0,06","0,04",BRC1021B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1021B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1021B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1021B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1021B,Nome não encontrado
