componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher sopa cheia (22 g),Concha cheia (120 g),codigo_alimento,nome_alimento
Energia,kJ,483,217,106,579,BRC0017T,Nome não encontrado
Energia,kcal,115,51,25,138,BRC0017T,Nome não encontrado
Umidade,g,"68,9","31,0","15,1","82,6",BRC0017T,Nome não encontrado
Carboidrato total,g,"20,8","9,35","4,57","24,9",BRC0017T,Nome não encontrado
Carboidrato disponível,g,"13,3","5,99","2,93","16,0",BRC0017T,Nome não encontrado
Proteína,g,"7,53","3,39","1,66","9,04",BRC0017T,Nome não encontrado
Lipídios,g,"1,86","0,83","0,41","2,23",BRC0017T,Nome não encontrado
Fibra alimentar,g,"7,47","3,36","1,64","8,96",BRC0017T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Cinzas,g,"0,98","0,44","0,22","1,18",BRC0017T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,14","0,07","0,37",BRC0017T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,22","0,11","0,57",BRC0017T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,43","0,21","1,15",BRC0017T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Cálcio,mg,"28,7","12,9","6,31","34,4",BRC0017T,Nome não encontrado
Ferro,mg,"2,43","1,10","0,54","2,92",BRC0017T,Nome não encontrado
Sódio,mg,"8,42","3,79","1,85","10,1",BRC0017T,Nome não encontrado
Magnésio,mg,"37,1","16,7","8,17","44,6",BRC0017T,Nome não encontrado
Fósforo,mg,124,"56,1","27,4",149,BRC0017T,Nome não encontrado
Potássio,mg,274,123,"60,4",329,BRC0017T,Nome não encontrado
Manganês,mg,"1,28","0,57","0,28","1,53",BRC0017T,Nome não encontrado
Zinco,mg,"2,05","0,92","0,45","2,45",BRC0017T,Nome não encontrado
Cobre,mg,"0,47","0,21","0,10","0,57",BRC0017T,Nome não encontrado
Selênio,mcg,"2,90","1,30","0,64","3,48",BRC0017T,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0017T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0017T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,11","0,06","0,30",BRC0017T,Nome não encontrado
Tiamina,mg,"0,11","0,05","0,02","0,13",BRC0017T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0017T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0017T,Nome não encontrado
Vitamina B6,mg,"0,56","0,25","0,12","0,67",BRC0017T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0017T,Nome não encontrado
Equivalente de folato,mcg,134,"60,6","29,6",161,BRC0017T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
Proteína vegetal,g,"7,53","3,39","1,66","9,04",BRC0017T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0017T,Nome não encontrado
