componente,unidade,Valor por 100g,Colher chá cheia (3 g),Colher chá rasa (2 g),Colher sobremesa cheia (5 g),Colher sobremesa rasa (3 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1599,47,31,79,47,319,159,BRC0090A,Nome não encontrado
Energia,kcal,377,11,7,18,11,75,37,BRC0090A,Nome não encontrado
Umidade,g,"4,82","0,14","0,10","0,24","0,14","0,96","0,48",BRC0090A,Nome não encontrado
Carboidrato total,g,"86,2","2,59","1,72","4,31","2,59","17,2","8,62",BRC0090A,Nome não encontrado
Carboidrato disponível,g,"86,2","2,59","1,72","4,31","2,59","17,2","8,62",BRC0090A,Nome não encontrado
Proteína,g,"5,92","0,18","0,12","0,30","0,18","1,18","0,59",BRC0090A,Nome não encontrado
Lipídios,g,"0,90","0,03","0,02","0,05","0,03","0,18","0,09",BRC0090A,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090A,Nome não encontrado
Cinzas,g,"2,16","0,06","0,04","0,11","0,06","0,43","0,22",BRC0090A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0090A,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,01","0,00","0,01","0,01","0,05","0,02",BRC0090A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,25","0,01","0,00","0,01","0,01","0,05","0,02",BRC0090A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,41","0,01","0,01","0,02","0,01","0,08","0,04",BRC0090A,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,BRC0090A,Nome não encontrado
Cálcio,mg,218,"6,56","4,37","10,9","6,56","43,7","21,9",BRC0090A,Nome não encontrado
Ferro,mg,"31,0","0,93","0,62","1,55","0,93","6,20","3,10",BRC0090A,Nome não encontrado
Sódio,mg,398,"12,0","7,98","19,9","12,0","79,8","39,9",BRC0090A,Nome não encontrado
Magnésio,mg,"16,0","0,48","0,32","0,80","0,48","3,20","1,60",BRC0090A,Nome não encontrado
Fósforo,mg,168,"5,07","3,38","8,45","5,07","33,8","16,9",BRC0090A,Nome não encontrado
Potássio,mg,"81,9","2,46","1,64","4,10","2,46","16,4","8,19",BRC0090A,Nome não encontrado
Manganês,mg,"0,11","0,00","0,00","0,01","0,00","0,02","0,01",BRC0090A,Nome não encontrado
Zinco,mg,"11,0","0,33","0,22","0,55","0,33","2,20","1,10",BRC0090A,Nome não encontrado
Cobre,mg,"0,04","0,00","0,00","0,00","0,00","0,01","0,00",BRC0090A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0090A,Nome não encontrado
Vitamina A (RE),mcg,1404,"42,1","28,1","70,2","42,1",280,140,BRC0090A,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,traços,BRC0090A,Nome não encontrado
Vitamina D,mcg,"18,0","0,54","0,36","0,90","0,54","3,60","1,80",BRC0090A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"9,52","0,29","0,19","0,48","0,29","1,90","0,95",BRC0090A,Nome não encontrado
Tiamina,mg,"1,05","0,03","0,02","0,05","0,03","0,21","0,11",BRC0090A,Nome não encontrado
Riboflavina,mg,"0,47","0,01","0,01","0,02","0,01","0,09","0,05",BRC0090A,Nome não encontrado
Niacina,mg,"13,8","0,41","0,28","0,69","0,41","2,76","1,38",BRC0090A,Nome não encontrado
Vitamina B6,mg,"5,07","0,15","0,10","0,25","0,15","1,01","0,51",BRC0090A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0090A,Nome não encontrado
Vitamina C,mg,109,"3,28","2,18","5,46","3,28","21,8","10,9",BRC0090A,Nome não encontrado
Equivalente de folato,mcg,200,"6,00","4,00","10,00","6,00","40,0","20,0",BRC0090A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0090A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0090A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0090A,Nome não encontrado
Proteína vegetal,g,,,,,,,,BRC0090A,Nome não encontrado
Proteína animal,g,,,,,,,,BRC0090A,Nome não encontrado
