componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1101,44,11,BRC0779B,Nome não encontrado
Energia,kcal,265,10,2,BRC0779B,Nome não encontrado
Umidade,g,"9,93","0,40","0,10",BRC0779B,Nome não encontrado
Carboidrato total,g,"68,9","2,76","0,69",BRC0779B,Nome não encontrado
Carboidrato disponível,g,"26,4","1,06","0,26",BRC0779B,Nome não encontrado
Proteína,g,"9,00","0,36","0,09",BRC0779B,Nome não encontrado
Lipídios,g,"4,28","0,17","0,04",BRC0779B,Nome não encontrado
Fibra alimentar,g,"42,5","1,70","0,43",BRC0779B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Cinzas,g,"7,87","0,31","0,08",BRC0779B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Ácidos graxos saturados,g,"1,55","0,06","0,02",BRC0779B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,72","0,03","0,01",BRC0779B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,37","0,05","0,01",BRC0779B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Cálcio,mg,1597,"63,9","16,0",BRC0779B,Nome não encontrado
Ferro,mg,"36,8","1,47","0,37",BRC0779B,Nome não encontrado
Sódio,mg,"25,0","1,00","0,25",BRC0779B,Nome não encontrado
Magnésio,mg,270,"10,8","2,70",BRC0779B,Nome não encontrado
Fósforo,mg,148,"5,92","1,48",BRC0779B,Nome não encontrado
Potássio,mg,1260,"50,4","12,6",BRC0779B,Nome não encontrado
Manganês,mg,"4,99","0,20","0,05",BRC0779B,Nome não encontrado
Zinco,mg,"2,69","0,11","0,03",BRC0779B,Nome não encontrado
Cobre,mg,"0,63","0,03","0,01",BRC0779B,Nome não encontrado
Selênio,mcg,"4,50","0,18","0,05",BRC0779B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0779B,Nome não encontrado
Vitamina A (RAE),mcg,"85,0","3,40","0,85",BRC0779B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"18,3","0,73","0,18",BRC0779B,Nome não encontrado
Tiamina,mg,"0,18","0,01","0,00",BRC0779B,Nome não encontrado
Riboflavina,mg,"0,53","0,02","0,01",BRC0779B,Nome não encontrado
Niacina,mg,"4,64","0,19","0,05",BRC0779B,Nome não encontrado
Vitamina B6,mg,"1,04","0,04","0,01",BRC0779B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Vitamina C,mg,"2,30","0,09","0,02",BRC0779B,Nome não encontrado
Equivalente de folato,mcg,237,"9,48","2,37",BRC0779B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
Proteína vegetal,g,"9,00","0,36","0,09",BRC0779B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0779B,Nome não encontrado
