componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,523,679,BRC0815B,Nome não encontrado
Energia,kcal,125,162,BRC0815B,Nome não encontrado
Umidade,g,"75,9","98,7",BRC0815B,Nome não encontrado
Carboidrato total,g,"14,2","18,5",BRC0815B,Nome não encontrado
Carboidrato disponível,g,"13,4","17,4",BRC0815B,Nome não encontrado
Proteína,g,"2,58","3,36",BRC0815B,Nome não encontrado
Lipídios,g,"6,62","8,60",BRC0815B,Nome não encontrado
Fibra alimentar,g,"0,86","1,11",BRC0815B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0815B,Nome não encontrado
Cinzas,g,"0,65","0,85",BRC0815B,Nome não encontrado
Colesterol,mg,"19,5","25,4",BRC0815B,Nome não encontrado
Ácidos graxos saturados,g,"4,01","5,21",BRC0815B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,77","2,30",BRC0815B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,22",BRC0815B,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,20",BRC0815B,Nome não encontrado
Cálcio,mg,"89,4",116,BRC0815B,Nome não encontrado
Ferro,mg,"0,21","0,27",BRC0815B,Nome não encontrado
Sódio,mg,"48,2","62,7",BRC0815B,Nome não encontrado
Magnésio,mg,"12,6","16,4",BRC0815B,Nome não encontrado
Fósforo,mg,"70,3","91,3",BRC0815B,Nome não encontrado
Potássio,mg,152,198,BRC0815B,Nome não encontrado
Manganês,mg,"0,18","0,24",BRC0815B,Nome não encontrado
Zinco,mg,"0,35","0,45",BRC0815B,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0815B,Nome não encontrado
Selênio,mcg,"3,78","4,91",BRC0815B,Nome não encontrado
Vitamina A (RE),mcg,"87,2",113,BRC0815B,Nome não encontrado
Vitamina A (RAE),mcg,"86,0",111,BRC0815B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0815B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,15",BRC0815B,Nome não encontrado
Tiamina,mg,"0,05","0,06",BRC0815B,Nome não encontrado
Riboflavina,mg,"0,17","0,22",BRC0815B,Nome não encontrado
Niacina,mg,"1,09","1,41",BRC0815B,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0815B,Nome não encontrado
Vitamina B12,mcg,"0,27","0,36",BRC0815B,Nome não encontrado
Vitamina C,mg,"0,41","0,54",BRC0815B,Nome não encontrado
Equivalente de folato,mcg,"9,73","12,6",BRC0815B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0815B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0815B,Nome não encontrado
Gordura de adição,g,-,-,BRC0815B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0815B,Nome não encontrado
Proteína animal,g,-,-,BRC0815B,Nome não encontrado
