componente,unidade,Valor por 100g,Colher sopa cheia (23 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,1469,337,249,BRC0017A,Nome não encontrado
Energia,kcal,347,79,58,BRC0017A,Nome não encontrado
Umidade,g,"12,9","2,97","2,19",BRC0017A,Nome não encontrado
Carboidrato total,g,"76,1","17,5","12,9",BRC0017A,Nome não encontrado
Carboidrato disponível,g,"72,2","16,6","12,3",BRC0017A,Nome não encontrado
Proteína,g,"7,57","1,74","1,29",BRC0017A,Nome não encontrado
Lipídios,g,"2,20","0,51","0,37",BRC0017A,Nome não encontrado
Fibra alimentar,g,"3,90","0,90","0,66",BRC0017A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Cinzas,g,"1,22","0,28","0,21",BRC0017A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,07","0,05",BRC0017A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,52","0,12","0,09",BRC0017A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,10","0,07",BRC0017A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0017A,Nome não encontrado
Cálcio,mg,"6,10","1,40","1,04",BRC0017A,Nome não encontrado
Ferro,mg,"0,83","0,19","0,14",BRC0017A,Nome não encontrado
Sódio,mg,"0,88","0,20","0,15",BRC0017A,Nome não encontrado
Magnésio,mg,"44,7","10,3","7,61",BRC0017A,Nome não encontrado
Fósforo,mg,122,"28,3","20,9",BRC0017A,Nome não encontrado
Potássio,mg,169,"38,9","28,8",BRC0017A,Nome não encontrado
Manganês,mg,"1,26","0,29","0,21",BRC0017A,Nome não encontrado
Zinco,mg,"1,75","0,40","0,30",BRC0017A,Nome não encontrado
Cobre,mg,"0,13","0,03","0,02",BRC0017A,Nome não encontrado
Selênio,mcg,"2,70","0,62","0,46",BRC0017A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,15","0,11",BRC0017A,Nome não encontrado
Tiamina,mg,"0,26","0,06","0,04",BRC0017A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0017A,Nome não encontrado
Niacina,mg,"4,15","0,95","0,71",BRC0017A,Nome não encontrado
Vitamina B6,mg,"0,17","0,04","0,03",BRC0017A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Equivalente de folato,mcg,"19,9","4,57","3,38",BRC0017A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
Proteína vegetal,g,"7,57","1,74","1,29",BRC0017A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0017A,Nome não encontrado
