componente,unidade,Valor por 100g,Colher sobremesa cheia (9 g),Colher sobremesa rasa (5 g),Colher sopa cheia (16 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,2082,187,104,333,166,BRC0039G,Nome não encontrado
Energia,kcal,498,44,24,79,39,BRC0039G,Nome não encontrado
Umidade,g,"3,08","0,28","0,15","0,49","0,25",BRC0039G,Nome não encontrado
Carboidrato total,g,"39,0","3,51","1,95","6,23","3,12",BRC0039G,Nome não encontrado
Carboidrato disponível,g,"39,0","3,51","1,95","6,23","3,12",BRC0039G,Nome não encontrado
Proteína,g,"26,0","2,34","1,30","4,16","2,08",BRC0039G,Nome não encontrado
Lipídios,g,"26,4","2,38","1,32","4,23","2,11",BRC0039G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Cinzas,g,"5,55","0,50","0,28","0,89","0,44",BRC0039G,Nome não encontrado
Colesterol,mg,"83,7","7,54","4,19","13,4","6,70",BRC0039G,Nome não encontrado
Ácidos graxos saturados,g,"16,0","1,44","0,80","2,56","1,28",BRC0039G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,97","0,63","0,35","1,12","0,56",BRC0039G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,04","0,02","0,08","0,04",BRC0039G,Nome não encontrado
Ácidos graxos trans,g,"0,92","0,08","0,05","0,15","0,07",BRC0039G,Nome não encontrado
Cálcio,mg,886,"79,8","44,3",141,"70,9",BRC0039G,Nome não encontrado
Ferro,mg,"0,52","0,05","0,03","0,08","0,04",BRC0039G,Nome não encontrado
Sódio,mg,321,"29,0","16,1","51,5","25,8",BRC0039G,Nome não encontrado
Magnésio,mg,"77,1","6,94","3,86","12,3","6,17",BRC0039G,Nome não encontrado
Fósforo,mg,1237,111,"61,9",197,"99,0",BRC0039G,Nome não encontrado
Potássio,mg,1127,101,"56,4",180,"90,2",BRC0039G,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,BRC0039G,Nome não encontrado
Zinco,mg,"2,72","0,24","0,14","0,43","0,22",BRC0039G,Nome não encontrado
Cobre,mg,"0,11","0,01","0,01","0,02","0,01",BRC0039G,Nome não encontrado
Selênio,mcg,"16,2","1,46","0,81","2,59","1,30",BRC0039G,Nome não encontrado
Vitamina A (RE),mcg,329,"29,7","16,5","52,7","26,4",BRC0039G,Nome não encontrado
Vitamina A (RAE),mcg,325,"29,3","16,3","52,0","26,0",BRC0039G,Nome não encontrado
Vitamina D,mcg,"0,50","0,04","0,02","0,08","0,04",BRC0039G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,57","0,05","0,03","0,09","0,05",BRC0039G,Nome não encontrado
Tiamina,mg,"0,24","0,02","0,01","0,04","0,02",BRC0039G,Nome não encontrado
Riboflavina,mg,"1,02","0,09","0,05","0,16","0,08",BRC0039G,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0039G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0039G,Nome não encontrado
Vitamina B12,mcg,"3,23","0,29","0,16","0,52","0,26",BRC0039G,Nome não encontrado
Vitamina C,mg,"8,55","0,77","0,43","1,37","0,68",BRC0039G,Nome não encontrado
Equivalente de folato,mcg,"36,8","3,31","1,84","5,88","2,94",BRC0039G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0039G,Nome não encontrado
Proteína animal,g,"26,0","2,34","1,30","4,16","2,08",BRC0039G,Nome não encontrado
