componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,594,296,148,653,534,BRC1041A,Nome não encontrado
Energia,kcal,141,70,35,155,127,BRC1041A,Nome não encontrado
Umidade,g,"69,3","34,6","17,3","76,2","62,3",BRC1041A,Nome não encontrado
Carboidrato total,g,"19,6","9,79","4,89","21,5","17,6",BRC1041A,Nome não encontrado
Carboidrato disponível,g,"18,4","9,21","4,61","20,3","16,6",BRC1041A,Nome não encontrado
Proteína,g,"5,43","2,72","1,36","5,98","4,89",BRC1041A,Nome não encontrado
Lipídios,g,"4,84","2,42","1,21","5,32","4,36",BRC1041A,Nome não encontrado
Fibra alimentar,g,"1,15","0,57","0,29","1,26","1,03",BRC1041A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1041A,Nome não encontrado
Cinzas,g,"0,89","0,44","0,22","0,98","0,80",BRC1041A,Nome não encontrado
Colesterol,mg,"9,44","4,72","2,36","10,4","8,49",BRC1041A,Nome não encontrado
Ácidos graxos saturados,g,"0,83","0,41","0,21","0,91","0,74",BRC1041A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","0,55","0,27","1,21","0,99",BRC1041A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,55","1,28","0,64","2,81","2,30",BRC1041A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,04","0,03",BRC1041A,Nome não encontrado
Cálcio,mg,"63,8","31,9","15,9","70,1","57,4",BRC1041A,Nome não encontrado
Ferro,mg,"0,84","0,42","0,21","0,92","0,75",BRC1041A,Nome não encontrado
Sódio,mg,155,"77,6","38,8",170,139,BRC1041A,Nome não encontrado
Magnésio,mg,"8,37","4,18","2,09","9,20","7,53",BRC1041A,Nome não encontrado
Fósforo,mg,103,"51,5","25,8",113,"92,7",BRC1041A,Nome não encontrado
Potássio,mg,140,"70,2","35,1",154,126,BRC1041A,Nome não encontrado
Manganês,mg,"0,20","0,10","0,05","0,22","0,18",BRC1041A,Nome não encontrado
Zinco,mg,"0,58","0,29","0,14","0,63","0,52",BRC1041A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,02","0,08","0,07",BRC1041A,Nome não encontrado
Selênio,mcg,"7,69","3,84","1,92","8,46","6,92",BRC1041A,Nome não encontrado
Vitamina A (RE),mcg,"26,1","13,0","6,52","28,7","23,5",BRC1041A,Nome não encontrado
Vitamina A (RAE),mcg,"13,0","6,52","3,26","14,3","11,7",BRC1041A,Nome não encontrado
Vitamina D,mcg,"1,03","0,52","0,26","1,14","0,93",BRC1041A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,81","0,40","0,20","0,89","0,72",BRC1041A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,03","0,11","0,09",BRC1041A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00","0,02","0,02",BRC1041A,Nome não encontrado
Niacina,mg,"1,66","0,83","0,42","1,83","1,49",BRC1041A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,03","0,03",BRC1041A,Nome não encontrado
Vitamina B12,mcg,"1,27","0,64","0,32","1,40","1,15",BRC1041A,Nome não encontrado
Vitamina C,mg,"3,84","1,92","0,96","4,23","3,46",BRC1041A,Nome não encontrado
Equivalente de folato,mcg,"48,1","24,0","12,0","52,9","43,3",BRC1041A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1041A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1041A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1041A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1041A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1041A,Nome não encontrado
