componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,474,284,213,473,BRC0414E,Nome não encontrado
Energia,kcal,113,67,50,112,BRC0414E,Nome não encontrado
Umidade,g,"75,7","45,4","34,1","75,7",BRC0414E,Nome não encontrado
Carboidrato total,g,"1,48","0,89","0,67","1,48",BRC0414E,Nome não encontrado
Carboidrato disponível,g,"1,43","0,86","0,64","1,43",BRC0414E,Nome não encontrado
Proteína,g,"17,1","10,3","7,69","17,1",BRC0414E,Nome não encontrado
Lipídios,g,"4,28","2,57","1,92","4,28",BRC0414E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0414E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0414E,Nome não encontrado
Cinzas,g,"1,41","0,85","0,64","1,41",BRC0414E,Nome não encontrado
Colesterol,mg,"58,8","35,3","26,5","58,8",BRC0414E,Nome não encontrado
Ácidos graxos saturados,g,"1,89","1,13","0,85","1,89",BRC0414E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,05","0,63","0,47","1,05",BRC0414E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,57","0,43","0,96",BRC0414E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0414E,Nome não encontrado
Cálcio,mg,"47,3","28,4","21,3","47,3",BRC0414E,Nome não encontrado
Ferro,mg,"0,29","0,17","0,13","0,29",BRC0414E,Nome não encontrado
Sódio,mg,133,"80,3","60,2",133,BRC0414E,Nome não encontrado
Magnésio,mg,"29,4","17,7","13,2","29,4",BRC0414E,Nome não encontrado
Fósforo,mg,204,122,"92,1",204,BRC0414E,Nome não encontrado
Potássio,mg,369,221,166,369,BRC0414E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0414E,Nome não encontrado
Zinco,mg,"0,47","0,28","0,21","0,47",BRC0414E,Nome não encontrado
Cobre,mg,"0,01","0,01","0,00","0,01",BRC0414E,Nome não encontrado
Selênio,mcg,"28,8","17,3","13,0","28,8",BRC0414E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,29","0,22","0,48",BRC0414E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,14","0,11","0,24",BRC0414E,Nome não encontrado
Vitamina D,mcg,"1,87","1,12","0,84","1,87",BRC0414E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,73","0,44","0,33","0,73",BRC0414E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0414E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0414E,Nome não encontrado
Niacina,mg,"1,68","1,01","0,75","1,68",BRC0414E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0414E,Nome não encontrado
Vitamina B12,mcg,"1,92","1,15","0,86","1,92",BRC0414E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0414E,Nome não encontrado
Equivalente de folato,mcg,"14,8","8,90","6,67","14,8",BRC0414E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0414E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0414E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0414E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0414E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0414E,Nome não encontrado
