componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,106,253,174,211,BRC0058H,Nome não encontrado
Energia,kcal,25,59,40,49,BRC0058H,Nome não encontrado
Umidade,g,"93,8",225,154,187,BRC0058H,Nome não encontrado
Carboidrato total,g,"6,16","14,8","10,2","12,3",BRC0058H,Nome não encontrado
Carboidrato disponível,g,"6,16","14,8","10,2","12,3",BRC0058H,Nome não encontrado
Proteína,g,"0,02","0,05","0,03","0,04",BRC0058H,Nome não encontrado
Lipídios,g,"0,01","0,03","0,02","0,02",BRC0058H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Cinzas,g,"0,04","0,09","0,06","0,08",BRC0058H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,01","0,01","0,01",BRC0058H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Cálcio,mg,"4,63","11,1","7,64","9,26",BRC0058H,Nome não encontrado
Ferro,mg,"0,21","0,49","0,34","0,41",BRC0058H,Nome não encontrado
Sódio,mg,"1,69","4,05","2,78","3,37",BRC0058H,Nome não encontrado
Magnésio,mg,"2,57","6,17","4,24","5,14",BRC0058H,Nome não encontrado
Fósforo,mg,"0,76","1,83","1,26","1,53",BRC0058H,Nome não encontrado
Potássio,mg,"19,1","45,8","31,5","38,1",BRC0058H,Nome não encontrado
Manganês,mg,"0,16","0,39","0,27","0,33",BRC0058H,Nome não encontrado
Zinco,mg,"0,05","0,11","0,08","0,09",BRC0058H,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03","0,04",BRC0058H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","2,40","1,65","2,00",BRC0058H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01","0,02",BRC0058H,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01","0,01",BRC0058H,Nome não encontrado
Niacina,mg,traços,traços,traços,,BRC0058H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0058H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0058H,Nome não encontrado
Equivalente de folato,mcg,"0,94","2,26","1,55","1,88",BRC0058H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0058H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0058H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0058H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0058H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0058H,Nome não encontrado
