componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,607,607,BRC0364E,Nome não encontrado
Energia,kcal,145,145,BRC0364E,Nome não encontrado
Umidade,g,"70,4","70,4",BRC0364E,Nome não encontrado
Carboidrato total,g,"9,55","9,55",BRC0364E,Nome não encontrado
Carboidrato disponível,g,"4,96","4,96",BRC0364E,Nome não encontrado
Proteína,g,"13,9","13,9",BRC0364E,Nome não encontrado
Lipídios,g,"4,49","4,49",BRC0364E,Nome não encontrado
Fibra alimentar,g,"4,60","4,60",BRC0364E,Nome não encontrado
Álcool,g,"0,02","0,02",BRC0364E,Nome não encontrado
Cinzas,g,"1,51","1,51",BRC0364E,Nome não encontrado
Colesterol,mg,"87,9","87,9",BRC0364E,Nome não encontrado
Ácidos graxos saturados,g,"1,60","1,60",BRC0364E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,44","1,44",BRC0364E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","1,08",BRC0364E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0364E,Nome não encontrado
Cálcio,mg,"60,0","60,0",BRC0364E,Nome não encontrado
Ferro,mg,"4,26","4,26",BRC0364E,Nome não encontrado
Sódio,mg,369,369,BRC0364E,Nome não encontrado
Magnésio,mg,"38,8","38,8",BRC0364E,Nome não encontrado
Fósforo,mg,120,120,BRC0364E,Nome não encontrado
Potássio,mg,331,331,BRC0364E,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0364E,Nome não encontrado
Zinco,mg,"1,74","1,74",BRC0364E,Nome não encontrado
Cobre,mg,"0,42","0,42",BRC0364E,Nome não encontrado
Selênio,mcg,"13,6","13,6",BRC0364E,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0364E,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0364E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01",BRC0364E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,18","1,18",BRC0364E,Nome não encontrado
Tiamina,mg,"0,07","0,07",BRC0364E,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0364E,Nome não encontrado
Niacina,mg,"1,08","1,08",BRC0364E,Nome não encontrado
Vitamina B6,mg,"0,14","0,14",BRC0364E,Nome não encontrado
Vitamina B12,mcg,"5,66","5,66",BRC0364E,Nome não encontrado
Vitamina C,mg,"8,25","8,25",BRC0364E,Nome não encontrado
Equivalente de folato,mcg,"32,4","32,4",BRC0364E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0364E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0364E,Nome não encontrado
Gordura de adição,g,-,-,BRC0364E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0364E,Nome não encontrado
Proteína animal,g,-,-,BRC0364E,Nome não encontrado
