componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,147,353,242,515,BRC0030H,Nome não encontrado
Energia,kcal,35,83,57,121,BRC0030H,Nome não encontrado
Umidade,g,"91,3",219,150,319,BRC0030H,Nome não encontrado
Carboidrato total,g,"8,66","20,8","14,3","30,3",BRC0030H,Nome não encontrado
Carboidrato disponível,g,"8,66","20,8","14,3","30,3",BRC0030H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Cinzas,g,"0,06","0,15","0,10","0,22",BRC0030H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Cálcio,mg,"1,37","3,29","2,26","4,80",BRC0030H,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0030H,Nome não encontrado
Sódio,mg,"6,15","14,8","10,1","21,5",BRC0030H,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0030H,Nome não encontrado
Fósforo,mg,"16,7","40,0","27,5","58,4",BRC0030H,Nome não encontrado
Potássio,mg,"0,91","2,17","1,49","3,17",BRC0030H,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0030H,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0030H,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0030H,Nome não encontrado
Selênio,mcg,"0,10","0,24","0,17","0,35",BRC0030H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Sal de adição,g,,,,,BRC0030H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0030H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0030H,Nome não encontrado
