componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 mL),codigo_alimento,nome_alimento
Energia,kJ,636,636,BRC0141H,Nome não encontrado
Energia,kcal,152,151,BRC0141H,Nome não encontrado
Umidade,g,"68,9","68,9",BRC0141H,Nome não encontrado
Carboidrato total,g,"18,8","18,8",BRC0141H,Nome não encontrado
Carboidrato disponível,g,"18,1","18,1",BRC0141H,Nome não encontrado
Proteína,g,"2,73","2,73",BRC0141H,Nome não encontrado
Lipídios,g,"2,61","2,61",BRC0141H,Nome não encontrado
Fibra alimentar,g,"0,68","0,68",BRC0141H,Nome não encontrado
Álcool,g,"6,22","6,22",BRC0141H,Nome não encontrado
Cinzas,g,"0,80","0,80",BRC0141H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0141H,Nome não encontrado
Ácidos graxos saturados,g,"0,97","0,97",BRC0141H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,51",BRC0141H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,60",BRC0141H,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,05",BRC0141H,Nome não encontrado
Cálcio,mg,"52,5","52,5",BRC0141H,Nome não encontrado
Ferro,mg,"0,36","0,36",BRC0141H,Nome não encontrado
Sódio,mg,"20,3","20,3",BRC0141H,Nome não encontrado
Magnésio,mg,"17,8","17,8",BRC0141H,Nome não encontrado
Fósforo,mg,"67,9","67,9",BRC0141H,Nome não encontrado
Potássio,mg,268,268,BRC0141H,Nome não encontrado
Manganês,mg,"0,09","0,09",BRC0141H,Nome não encontrado
Zinco,mg,"0,41","0,41",BRC0141H,Nome não encontrado
Cobre,mg,"0,17","0,17",BRC0141H,Nome não encontrado
Selênio,mcg,"3,45","3,45",BRC0141H,Nome não encontrado
Vitamina A (RE),mcg,"64,9","64,9",BRC0141H,Nome não encontrado
Vitamina A (RAE),mcg,"32,4","32,4",BRC0141H,Nome não encontrado
Vitamina D,mcg,"0,03","0,03",BRC0141H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,06",BRC0141H,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0141H,Nome não encontrado
Riboflavina,mg,"0,10","0,10",BRC0141H,Nome não encontrado
Niacina,mg,traços,traços,BRC0141H,Nome não encontrado
Vitamina B6,mg,"0,14","0,14",BRC0141H,Nome não encontrado
Vitamina B12,mcg,"0,09","0,09",BRC0141H,Nome não encontrado
Vitamina C,mg,"12,3","12,3",BRC0141H,Nome não encontrado
Equivalente de folato,mcg,"7,73","7,73",BRC0141H,Nome não encontrado
Sal de adição,g,,,BRC0141H,Nome não encontrado
Açúcar de adição,g,,,BRC0141H,Nome não encontrado
Gordura de adição,g,-,-,BRC0141H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0141H,Nome não encontrado
Proteína animal,g,-,-,BRC0141H,Nome não encontrado
