componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,943,1036,BRC0284F,Nome não encontrado
Energia,kcal,225,247,BRC0284F,Nome não encontrado
Umidade,g,"56,3","61,9",BRC0284F,Nome não encontrado
Carboidrato total,g,"0,99","1,09",BRC0284F,Nome não encontrado
Carboidrato disponível,g,"0,87","0,96",BRC0284F,Nome não encontrado
Proteína,g,"30,6","33,6",BRC0284F,Nome não encontrado
Lipídios,g,"11,0","12,1",BRC0284F,Nome não encontrado
Fibra alimentar,g,"0,12","0,13",BRC0284F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0284F,Nome não encontrado
Cinzas,g,"1,18","1,30",BRC0284F,Nome não encontrado
Colesterol,mg,"93,8",103,BRC0284F,Nome não encontrado
Ácidos graxos saturados,g,"5,51","6,07",BRC0284F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,22","5,74",BRC0284F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","1,02",BRC0284F,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,27",BRC0284F,Nome não encontrado
Cálcio,mg,"5,56","6,12",BRC0284F,Nome não encontrado
Ferro,mg,"2,61","2,87",BRC0284F,Nome não encontrado
Sódio,mg,"57,6","63,3",BRC0284F,Nome não encontrado
Magnésio,mg,"23,0","25,3",BRC0284F,Nome não encontrado
Fósforo,mg,246,271,BRC0284F,Nome não encontrado
Potássio,mg,351,386,BRC0284F,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0284F,Nome não encontrado
Zinco,mg,"5,47","6,02",BRC0284F,Nome não encontrado
Cobre,mg,"0,11","0,12",BRC0284F,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0284F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0284F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0284F,Nome não encontrado
Vitamina D,mcg,"0,26","0,28",BRC0284F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,66",BRC0284F,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0284F,Nome não encontrado
Riboflavina,mg,"0,10","0,11",BRC0284F,Nome não encontrado
Niacina,mg,"3,15","3,47",BRC0284F,Nome não encontrado
Vitamina B6,mg,"0,06","0,06",BRC0284F,Nome não encontrado
Vitamina B12,mcg,"0,98","1,07",BRC0284F,Nome não encontrado
Vitamina C,mg,"0,24","0,26",BRC0284F,Nome não encontrado
Equivalente de folato,mcg,"0,81","0,89",BRC0284F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0284F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0284F,Nome não encontrado
Gordura de adição,g,-,-,BRC0284F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0284F,Nome não encontrado
Proteína animal,g,-,-,BRC0284F,Nome não encontrado
