componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,183,82,64,36,21,BRC0186B,Nome não encontrado
Energia,kcal,44,19,15,8,5,BRC0186B,Nome não encontrado
Umidade,g,"90,7","40,8","31,7","18,1","10,9",BRC0186B,Nome não encontrado
Carboidrato total,g,"4,88","2,20","1,71","0,98","0,59",BRC0186B,Nome não encontrado
Carboidrato disponível,g,"3,24","1,46","1,14","0,65","0,39",BRC0186B,Nome não encontrado
Proteína,g,"1,04","0,47","0,36","0,21","0,13",BRC0186B,Nome não encontrado
Lipídios,g,"2,63","1,18","0,92","0,53","0,32",BRC0186B,Nome não encontrado
Fibra alimentar,g,"1,64","0,74","0,57","0,33","0,20",BRC0186B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Cinzas,g,"0,79","0,35","0,27","0,16","0,09",BRC0186B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,19","0,14","0,08","0,05",BRC0186B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","0,86","0,67","0,38","0,23",BRC0186B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,12","0,09","0,05","0,03",BRC0186B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Cálcio,mg,"34,4","15,5","12,0","6,87","4,12",BRC0186B,Nome não encontrado
Ferro,mg,"0,26","0,12","0,09","0,05","0,03",BRC0186B,Nome não encontrado
Sódio,mg,131,"59,0","45,9","26,2","15,7",BRC0186B,Nome não encontrado
Magnésio,mg,"10,4","4,67","3,63","2,07","1,24",BRC0186B,Nome não encontrado
Fósforo,mg,"17,8","8,03","6,24","3,57","2,14",BRC0186B,Nome não encontrado
Potássio,mg,197,"89,1","69,3","39,6","23,8",BRC0186B,Nome não encontrado
Manganês,mg,"0,21","0,09","0,07","0,04","0,02",BRC0186B,Nome não encontrado
Zinco,mg,"0,29","0,13","0,10","0,06","0,03",BRC0186B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,02","0,01","0,01",BRC0186B,Nome não encontrado
Selênio,mcg,"0,04","0,02","0,02","0,01","0,01",BRC0186B,Nome não encontrado
Vitamina A (RE),mcg,100,"45,2","35,2","20,1","12,1",BRC0186B,Nome não encontrado
Vitamina A (RAE),mcg,"50,2","22,6","17,6","10,0","6,03",BRC0186B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,29","0,23","0,13","0,08",BRC0186B,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,01","0,01","0,00",BRC0186B,Nome não encontrado
Niacina,mg,"0,02","0,01","0,01","0,00","0,00",BRC0186B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,03","0,01","0,01",BRC0186B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Vitamina C,mg,"18,2","8,18","6,36","3,64","2,18",BRC0186B,Nome não encontrado
Equivalente de folato,mcg,"29,8","13,4","10,4","5,96","3,58",BRC0186B,Nome não encontrado
Sal de adição,g,"0,32","0,14","0,11","0,06","0,04",BRC0186B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0186B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0186B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0186B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0186B,Nome não encontrado
