componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,118,29,21,BRC0465B,Nome não encontrado
Energia,kcal,28,7,5,BRC0465B,Nome não encontrado
Umidade,g,"91,8","23,0","16,5",BRC0465B,Nome não encontrado
Carboidrato total,g,"6,04","1,51","1,09",BRC0465B,Nome não encontrado
Carboidrato disponível,g,"4,11","1,03","0,74",BRC0465B,Nome não encontrado
Proteína,g,"1,27","0,32","0,23",BRC0465B,Nome não encontrado
Lipídios,g,"0,31","0,08","0,06",BRC0465B,Nome não encontrado
Fibra alimentar,g,"1,92","0,48","0,35",BRC0465B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Cinzas,g,"0,53","0,13","0,10",BRC0465B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,02","0,01",BRC0465B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00",BRC0465B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,02","0,02",BRC0465B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Cálcio,mg,"8,73","2,18","1,57",BRC0465B,Nome não encontrado
Ferro,mg,"0,36","0,09","0,06",BRC0465B,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Magnésio,mg,"10,9","2,73","1,96",BRC0465B,Nome não encontrado
Fósforo,mg,"21,4","5,35","3,85",BRC0465B,Nome não encontrado
Potássio,mg,197,"49,3","35,5",BRC0465B,Nome não encontrado
Manganês,mg,"0,11","0,03","0,02",BRC0465B,Nome não encontrado
Zinco,mg,"0,18","0,05","0,03",BRC0465B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,01",BRC0465B,Nome não encontrado
Selênio,mcg,"0,22","0,06","0,04",BRC0465B,Nome não encontrado
Vitamina A (RE),mcg,"41,2","10,3","7,42",BRC0465B,Nome não encontrado
Vitamina A (RAE),mcg,"20,6","5,15","3,71",BRC0465B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,30","0,33","0,23",BRC0465B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01",BRC0465B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,01",BRC0465B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0465B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0465B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Vitamina C,mg,132,"33,0","23,8",BRC0465B,Nome não encontrado
Equivalente de folato,mcg,"18,3","4,58","3,29",BRC0465B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
Proteína vegetal,g,"1,27","0,32","0,23",BRC0465B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0465B,Nome não encontrado
