componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,260,104,65,39,130,BRC0336B,Nome não encontrado
Energia,kcal,63,25,15,9,31,BRC0336B,Nome não encontrado
Umidade,g,"86,4","34,5","21,6","13,0","43,2",BRC0336B,Nome não encontrado
Carboidrato total,g,"7,96","3,18","1,99","1,19","3,98",BRC0336B,Nome não encontrado
Carboidrato disponível,g,"4,89","1,95","1,22","0,73","2,44",BRC0336B,Nome não encontrado
Proteína,g,"1,20","0,48","0,30","0,18","0,60",BRC0336B,Nome não encontrado
Lipídios,g,"3,57","1,43","0,89","0,54","1,79",BRC0336B,Nome não encontrado
Fibra alimentar,g,"3,08","1,23","0,77","0,46","1,54",BRC0336B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Cinzas,g,"0,94","0,38","0,24","0,14","0,47",BRC0336B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Ácidos graxos saturados,g,"1,08","0,43","0,27","0,16","0,54",BRC0336B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","0,29","0,18","0,11","0,37",BRC0336B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,43","0,57","0,36","0,21","0,71",BRC0336B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00","0,00","0,01",BRC0336B,Nome não encontrado
Cálcio,mg,"22,2","8,90","5,56","3,34","11,1",BRC0336B,Nome não encontrado
Ferro,mg,"0,48","0,19","0,12","0,07","0,24",BRC0336B,Nome não encontrado
Sódio,mg,"12,8","5,13","3,21","1,92","6,41",BRC0336B,Nome não encontrado
Magnésio,mg,"11,9","4,78","2,99","1,79","5,97",BRC0336B,Nome não encontrado
Fósforo,mg,"29,1","11,6","7,27","4,36","14,5",BRC0336B,Nome não encontrado
Potássio,mg,286,114,"71,7","43,0",143,BRC0336B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,02","0,01","0,03",BRC0336B,Nome não encontrado
Zinco,mg,"0,31","0,12","0,08","0,05","0,15",BRC0336B,Nome não encontrado
Cobre,mg,"0,07","0,03","0,02","0,01","0,03",BRC0336B,Nome não encontrado
Selênio,mcg,"0,60","0,24","0,15","0,09","0,30",BRC0336B,Nome não encontrado
Vitamina A (RE),mcg,669,267,167,100,334,BRC0336B,Nome não encontrado
Vitamina A (RAE),mcg,334,133,"83,7","50,2",167,BRC0336B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,22","0,49","0,30","0,18","0,61",BRC0336B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0336B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0336B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0336B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01","0,03",BRC0336B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Vitamina C,mg,"3,04","1,21","0,76","0,46","1,52",BRC0336B,Nome não encontrado
Equivalente de folato,mcg,"12,0","4,82","3,01","1,81","6,02",BRC0336B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0336B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0336B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0336B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0336B,Nome não encontrado
