componente,unidade,Valor por 100g,Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,3700,703,BRC0018D,Nome não encontrado
Energia,kcal,900,171,BRC0018D,Nome não encontrado
Umidade,g,"0,00","0,00",BRC0018D,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0018D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0018D,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0018D,Nome não encontrado
Lipídios,g,"100,0","19,0",BRC0018D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0018D,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0018D,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0018D,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Ácidos graxos saturados,g,"61,1","11,6",BRC0018D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"36,3","6,90",BRC0018D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,65","0,69",BRC0018D,Nome não encontrado
Ácidos graxos trans,g,,,BRC0018D,Nome não encontrado
Cálcio,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Ferro,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Sódio,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Magnésio,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Potássio,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Manganês,mg,,,BRC0018D,Nome não encontrado
Zinco,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Cobre,mg,,,BRC0018D,Nome não encontrado
Selênio,mcg,,,BRC0018D,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0018D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0018D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0018D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,80","0,34",BRC0018D,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0018D,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0018D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0018D,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0018D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0018D,Nome não encontrado
Gordura de adição,g,"100,0","19,0",BRC0018D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0018D,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0018D,Nome não encontrado
