componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,63,6,BRC0776B,Nome não encontrado
Energia,kcal,15,1,BRC0776B,Nome não encontrado
Umidade,g,"95,4","9,54",BRC0776B,Nome não encontrado
Carboidrato total,g,"1,48","0,15",BRC0776B,Nome não encontrado
Carboidrato disponível,g,"1,48","0,15",BRC0776B,Nome não encontrado
Proteína,g,"1,62","0,16",BRC0776B,Nome não encontrado
Lipídios,g,"0,29","0,03",BRC0776B,Nome não encontrado
Fibra alimentar,g,,,BRC0776B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0776B,Nome não encontrado
Cinzas,g,"1,20","0,12",BRC0776B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0776B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0776B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0776B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0776B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0776B,Nome não encontrado
Cálcio,mg,613,"61,3",BRC0776B,Nome não encontrado
Ferro,mg,"7,50","0,75",BRC0776B,Nome não encontrado
Sódio,mg,"24,9","2,49",BRC0776B,Nome não encontrado
Magnésio,mg,915,"91,5",BRC0776B,Nome não encontrado
Fósforo,mg,222,"22,3",BRC0776B,Nome não encontrado
Potássio,mg,397,"39,8",BRC0776B,Nome não encontrado
Manganês,mg,"8,01","0,80",BRC0776B,Nome não encontrado
Zinco,mg,"4,42","0,44",BRC0776B,Nome não encontrado
Cobre,mg,"0,74","0,07",BRC0776B,Nome não encontrado
Selênio,mcg,,,BRC0776B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0776B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0776B,Nome não encontrado
Vitamina D,mcg,,,BRC0776B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0776B,Nome não encontrado
Tiamina,mg,,,BRC0776B,Nome não encontrado
Riboflavina,mg,,,BRC0776B,Nome não encontrado
Niacina,mg,,,BRC0776B,Nome não encontrado
Vitamina B6,mg,,,BRC0776B,Nome não encontrado
Vitamina B12,mcg,,,BRC0776B,Nome não encontrado
Vitamina C,mg,"48,3","4,83",BRC0776B,Nome não encontrado
Equivalente de folato,mcg,,,BRC0776B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0776B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0776B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0776B,Nome não encontrado
Proteína vegetal,g,"1,62","0,16",BRC0776B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0776B,Nome não encontrado
