componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1561,62,15,BRC0828B,Nome não encontrado
Energia,kcal,376,15,3,BRC0828B,Nome não encontrado
Umidade,g,"8,05","0,32","0,08",BRC0828B,Nome não encontrado
Carboidrato total,g,"56,6","2,27","0,57",BRC0828B,Nome não encontrado
Carboidrato disponível,g,"29,4","1,18","0,29",BRC0828B,Nome não encontrado
Proteína,g,"12,0","0,48","0,12",BRC0828B,Nome não encontrado
Lipídios,g,"17,3","0,69","0,17",BRC0828B,Nome não encontrado
Fibra alimentar,g,"27,2","1,09","0,27",BRC0828B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Cinzas,g,"6,04","0,24","0,06",BRC0828B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Ácidos graxos saturados,g,"3,26","0,13","0,03",BRC0828B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,75","0,11","0,03",BRC0828B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,37","0,33","0,08",BRC0828B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Cálcio,mg,148,"5,92","1,48",BRC0828B,Nome não encontrado
Ferro,mg,"7,80","0,31","0,08",BRC0828B,Nome não encontrado
Sódio,mg,"30,0","1,20","0,30",BRC0828B,Nome não encontrado
Magnésio,mg,152,"6,08","1,52",BRC0828B,Nome não encontrado
Fósforo,mg,293,"11,7","2,93",BRC0828B,Nome não encontrado
Potássio,mg,2014,"80,6","20,1",BRC0828B,Nome não encontrado
Manganês,mg,"2,00","0,08","0,02",BRC0828B,Nome não encontrado
Zinco,mg,"2,48","0,10","0,02",BRC0828B,Nome não encontrado
Cobre,mg,"0,37","0,01","0,00",BRC0828B,Nome não encontrado
Selênio,mcg,"8,80","0,35","0,09",BRC0828B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0828B,Nome não encontrado
Vitamina A (RAE),mcg,2081,"83,2","20,8",BRC0828B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"29,8","1,19","0,30",BRC0828B,Nome não encontrado
Tiamina,mg,"0,33","0,01","0,00",BRC0828B,Nome não encontrado
Riboflavina,mg,"0,92","0,04","0,01",BRC0828B,Nome não encontrado
Niacina,mg,"8,70","0,35","0,09",BRC0828B,Nome não encontrado
Vitamina B6,mg,"2,45","0,10","0,02",BRC0828B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Vitamina C,mg,"76,4","3,06","0,76",BRC0828B,Nome não encontrado
Equivalente de folato,mcg,106,"4,24","1,06",BRC0828B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
Proteína vegetal,g,"12,0","0,48","0,12",BRC0828B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0828B,Nome não encontrado
