componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,393,235,176,393,BRC0426E,Nome não encontrado
Energia,kcal,93,56,42,93,BRC0426E,Nome não encontrado
Umidade,g,"79,6","47,8","35,8","79,6",BRC0426E,Nome não encontrado
Carboidrato total,g,"0,44","0,26","0,20","0,44",BRC0426E,Nome não encontrado
Carboidrato disponível,g,"0,95","0,57","0,43","0,95",BRC0426E,Nome não encontrado
Proteína,g,"16,4","9,81","7,36","16,4",BRC0426E,Nome não encontrado
Lipídios,g,"3,00","1,80","1,35","3,00",BRC0426E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0426E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0426E,Nome não encontrado
Cinzas,g,"1,44","0,87","0,65","1,44",BRC0426E,Nome não encontrado
Colesterol,mg,"55,1","33,1","24,8","55,1",BRC0426E,Nome não encontrado
Ácidos graxos saturados,g,"1,03","0,62","0,46","1,03",BRC0426E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,72","0,43","0,33","0,72",BRC0426E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,60","0,45","1,01",BRC0426E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0426E,Nome não encontrado
Cálcio,mg,"17,2","10,3","7,75","17,2",BRC0426E,Nome não encontrado
Ferro,mg,"0,28","0,17","0,12","0,28",BRC0426E,Nome não encontrado
Sódio,mg,157,"94,5","70,9",157,BRC0426E,Nome não encontrado
Magnésio,mg,"29,2","17,5","13,1","29,2",BRC0426E,Nome não encontrado
Fósforo,mg,185,111,"83,4",185,BRC0426E,Nome não encontrado
Potássio,mg,388,233,174,388,BRC0426E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,03",BRC0426E,Nome não encontrado
Zinco,mg,"0,39","0,23","0,17","0,39",BRC0426E,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,03",BRC0426E,Nome não encontrado
Selênio,mcg,"27,3","16,4","12,3","27,3",BRC0426E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","12,3","27,3",BRC0426E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","6,15","13,7",BRC0426E,Nome não encontrado
Vitamina D,mcg,"1,87","1,12","0,84","1,87",BRC0426E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,41","0,31","0,68",BRC0426E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0426E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0426E,Nome não encontrado
Niacina,mg,"1,23","0,74","0,55","1,23",BRC0426E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0426E,Nome não encontrado
Vitamina B12,mcg,"1,81","1,09","0,82","1,81",BRC0426E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0426E,Nome não encontrado
Equivalente de folato,mcg,"13,0","7,79","5,84","13,0",BRC0426E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0426E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0426E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0426E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0426E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0426E,Nome não encontrado
