componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,386,231,154,BRC0867B,Nome não encontrado
Energia,kcal,91,54,36,BRC0867B,Nome não encontrado
Umidade,g,"75,4","45,2","30,1",BRC0867B,Nome não encontrado
Carboidrato total,g,"20,8","12,5","8,34",BRC0867B,Nome não encontrado
Carboidrato disponível,g,"18,9","11,3","7,54",BRC0867B,Nome não encontrado
Proteína,g,"2,55","1,53","1,02",BRC0867B,Nome não encontrado
Lipídios,g,"0,17","0,10","0,07",BRC0867B,Nome não encontrado
Fibra alimentar,g,"1,98","1,19","0,79",BRC0867B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Cinzas,g,"1,09","0,66","0,44",BRC0867B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,04","0,03",BRC0867B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,01",BRC0867B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,02","0,01",BRC0867B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Cálcio,mg,"15,1","9,06","6,04",BRC0867B,Nome não encontrado
Ferro,mg,"0,74","0,44","0,30",BRC0867B,Nome não encontrado
Sódio,mg,"0,42","0,25","0,17",BRC0867B,Nome não encontrado
Magnésio,mg,"20,3","12,2","8,13",BRC0867B,Nome não encontrado
Fósforo,mg,"54,5","32,7","21,8",BRC0867B,Nome não encontrado
Potássio,mg,551,331,220,BRC0867B,Nome não encontrado
Manganês,mg,"0,17","0,10","0,07",BRC0867B,Nome não encontrado
Zinco,mg,"0,36","0,21","0,14",BRC0867B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,05",BRC0867B,Nome não encontrado
Selênio,mcg,"0,41","0,25","0,16",BRC0867B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Vitamina A (RAE),mcg,"1,22","0,73","0,49",BRC0867B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0867B,Nome não encontrado
Tiamina,mg,"0,11","0,07","0,04",BRC0867B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0867B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0867B,Nome não encontrado
Vitamina B6,mg,"0,20","0,12","0,08",BRC0867B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Vitamina C,mg,"35,1","21,0","14,0",BRC0867B,Nome não encontrado
Equivalente de folato,mcg,"17,9","10,7","7,15",BRC0867B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0867B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0867B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0867B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0867B,Nome não encontrado
