componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,1119,2238,BRC0007M,Nome não encontrado
Energia,kcal,267,533,BRC0007M,Nome não encontrado
Umidade,g,"45,0","90,0",BRC0007M,Nome não encontrado
Carboidrato total,g,"27,8","55,6",BRC0007M,Nome não encontrado
Carboidrato disponível,g,"26,7","53,4",BRC0007M,Nome não encontrado
Proteína,g,"13,0","25,9",BRC0007M,Nome não encontrado
Lipídios,g,"11,8","23,6",BRC0007M,Nome não encontrado
Fibra alimentar,g,"1,10","2,20",BRC0007M,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0007M,Nome não encontrado
Cinzas,g,"2,45","4,90",BRC0007M,Nome não encontrado
Colesterol,mg,"35,0","70,0",BRC0007M,Nome não encontrado
Ácidos graxos saturados,g,"4,44","8,87",BRC0007M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,63","7,26",BRC0007M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,71",BRC0007M,Nome não encontrado
Ácidos graxos trans,g,,,BRC0007M,Nome não encontrado
Cálcio,mg,167,334,BRC0007M,Nome não encontrado
Ferro,mg,"2,35","4,70",BRC0007M,Nome não encontrado
Sódio,mg,626,1252,BRC0007M,Nome não encontrado
Magnésio,mg,"20,0","40,0",BRC0007M,Nome não encontrado
Fósforo,mg,140,280,BRC0007M,Nome não encontrado
Potássio,mg,200,400,BRC0007M,Nome não encontrado
Manganês,mg,"0,23","0,46",BRC0007M,Nome não encontrado
Zinco,mg,"1,91","3,82",BRC0007M,Nome não encontrado
Cobre,mg,"0,10","0,19",BRC0007M,Nome não encontrado
Selênio,mcg,,,BRC0007M,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0007M,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0007M,Nome não encontrado
Vitamina D,mcg,,,BRC0007M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0007M,Nome não encontrado
Tiamina,mg,"0,22","0,45",BRC0007M,Nome não encontrado
Riboflavina,mg,"0,26","0,52",BRC0007M,Nome não encontrado
Niacina,mg,"4,03","8,05",BRC0007M,Nome não encontrado
Vitamina B6,mg,,,BRC0007M,Nome não encontrado
Vitamina B12,mcg,"0,86","1,72",BRC0007M,Nome não encontrado
Vitamina C,mg,"0,60","1,20",BRC0007M,Nome não encontrado
Equivalente de folato,mcg,,,BRC0007M,Nome não encontrado
Sal de adição,g,,,BRC0007M,Nome não encontrado
Açúcar de adição,g,,,BRC0007M,Nome não encontrado
Gordura de adição,g,,,BRC0007M,Nome não encontrado
Proteína vegetal,g,,,BRC0007M,Nome não encontrado
Proteína animal,g,,,BRC0007M,Nome não encontrado
