componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,182,81,63,36,21,BRC0185B,Nome não encontrado
Energia,kcal,44,19,15,8,5,BRC0185B,Nome não encontrado
Umidade,g,"90,9","40,9","31,8","18,2","10,9",BRC0185B,Nome não encontrado
Carboidrato total,g,"4,80","2,16","1,68","0,96","0,58",BRC0185B,Nome não encontrado
Carboidrato disponível,g,"3,15","1,42","1,10","0,63","0,38",BRC0185B,Nome não encontrado
Proteína,g,"1,05","0,47","0,37","0,21","0,13",BRC0185B,Nome não encontrado
Lipídios,g,"2,64","1,19","0,92","0,53","0,32",BRC0185B,Nome não encontrado
Fibra alimentar,g,"1,65","0,74","0,58","0,33","0,20",BRC0185B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Cinzas,g,"0,47","0,21","0,16","0,09","0,06",BRC0185B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,19","0,14","0,08","0,05",BRC0185B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","0,86","0,67","0,38","0,23",BRC0185B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,12","0,09","0,05","0,03",BRC0185B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Cálcio,mg,"34,4","15,5","12,0","6,88","4,13",BRC0185B,Nome não encontrado
Ferro,mg,"0,26","0,12","0,09","0,05","0,03",BRC0185B,Nome não encontrado
Sódio,mg,"3,31","1,49","1,16","0,66","0,40",BRC0185B,Nome não encontrado
Magnésio,mg,"10,4","4,68","3,64","2,08","1,25",BRC0185B,Nome não encontrado
Fósforo,mg,"17,9","8,05","6,26","3,58","2,15",BRC0185B,Nome não encontrado
Potássio,mg,198,"89,4","69,5","39,7","23,8",BRC0185B,Nome não encontrado
Manganês,mg,"0,21","0,09","0,07","0,04","0,02",BRC0185B,Nome não encontrado
Zinco,mg,"0,29","0,13","0,10","0,06","0,03",BRC0185B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,02","0,01","0,01",BRC0185B,Nome não encontrado
Selênio,mcg,"0,04","0,02","0,02","0,01","0,01",BRC0185B,Nome não encontrado
Vitamina A (RE),mcg,100,"45,4","35,3","20,2","12,1",BRC0185B,Nome não encontrado
Vitamina A (RAE),mcg,"50,4","22,7","17,6","10,1","6,05",BRC0185B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,66","0,30","0,23","0,13","0,08",BRC0185B,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,01","0,01","0,00",BRC0185B,Nome não encontrado
Niacina,mg,"0,02","0,01","0,01","0,00","0,00",BRC0185B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,03","0,01","0,01",BRC0185B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Vitamina C,mg,"18,2","8,21","6,38","3,65","2,19",BRC0185B,Nome não encontrado
Equivalente de folato,mcg,"29,9","13,5","10,5","5,98","3,59",BRC0185B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0185B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0185B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0185B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0185B,Nome não encontrado
