componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,271,244,BRC0181T,Nome não encontrado
Energia,kcal,64,57,BRC0181T,Nome não encontrado
Umidade,g,"81,6","73,4",BRC0181T,Nome não encontrado
Carboidrato total,g,"13,0","11,7",BRC0181T,Nome não encontrado
Carboidrato disponível,g,"8,88","7,99",BRC0181T,Nome não encontrado
Proteína,g,"4,44","4,00",BRC0181T,Nome não encontrado
Lipídios,g,"0,32","0,29",BRC0181T,Nome não encontrado
Fibra alimentar,g,"4,11","3,70",BRC0181T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0181T,Nome não encontrado
Cinzas,g,"0,66","0,59",BRC0181T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0181T,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,06",BRC0181T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,05",BRC0181T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,14",BRC0181T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0181T,Nome não encontrado
Cálcio,mg,"28,4","25,6",BRC0181T,Nome não encontrado
Ferro,mg,"1,21","1,09",BRC0181T,Nome não encontrado
Sódio,mg,"1,41","1,27",BRC0181T,Nome não encontrado
Magnésio,mg,"18,8","16,9",BRC0181T,Nome não encontrado
Fósforo,mg,"76,8","69,1",BRC0181T,Nome não encontrado
Potássio,mg,255,230,BRC0181T,Nome não encontrado
Manganês,mg,"0,34","0,31",BRC0181T,Nome não encontrado
Zinco,mg,"0,84","0,76",BRC0181T,Nome não encontrado
Cobre,mg,"0,14","0,13",BRC0181T,Nome não encontrado
Selênio,mcg,"0,12","0,11",BRC0181T,Nome não encontrado
Vitamina A (RE),mcg,"77,8","70,0",BRC0181T,Nome não encontrado
Vitamina A (RAE),mcg,"38,9","35,0",BRC0181T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0181T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,15",BRC0181T,Nome não encontrado
Tiamina,mg,"0,06","0,05",BRC0181T,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0181T,Nome não encontrado
Niacina,mg,"0,05","0,04",BRC0181T,Nome não encontrado
Vitamina B6,mg,"0,06","0,06",BRC0181T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0181T,Nome não encontrado
Vitamina C,mg,"8,71","7,84",BRC0181T,Nome não encontrado
Equivalente de folato,mcg,100,"90,5",BRC0181T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0181T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0181T,Nome não encontrado
Gordura de adição,g,-,-,BRC0181T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0181T,Nome não encontrado
Proteína animal,g,-,-,BRC0181T,Nome não encontrado
