componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,790,134,86,189,110,BRC0182A,Nome não encontrado
Energia,kcal,187,31,20,44,26,BRC0182A,Nome não encontrado
Umidade,g,"52,3","8,89","5,75","12,5","7,32",BRC0182A,Nome não encontrado
Carboidrato total,g,"36,4","6,19","4,01","8,75","5,10",BRC0182A,Nome não encontrado
Carboidrato disponível,g,"31,4","5,34","3,45","7,54","4,40",BRC0182A,Nome não encontrado
Proteína,g,"8,39","1,43","0,92","2,01","1,17",BRC0182A,Nome não encontrado
Lipídios,g,"1,97","0,33","0,22","0,47","0,28",BRC0182A,Nome não encontrado
Fibra alimentar,g,"5,03","0,86","0,55","1,21","0,70",BRC0182A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Cinzas,g,"0,93","0,16","0,10","0,22","0,13",BRC0182A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,05","0,03","0,07","0,04",BRC0182A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,07","0,04","0,10","0,06",BRC0182A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,09","0,18","0,12","0,26","0,15",BRC0182A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Cálcio,mg,"3,28","0,56","0,36","0,79","0,46",BRC0182A,Nome não encontrado
Ferro,mg,"1,44","0,25","0,16","0,35","0,20",BRC0182A,Nome não encontrado
Sódio,mg,"1,49","0,25","0,16","0,36","0,21",BRC0182A,Nome não encontrado
Magnésio,mg,"34,2","5,82","3,77","8,22","4,79",BRC0182A,Nome não encontrado
Fósforo,mg,144,"24,6","15,9","34,7","20,2",BRC0182A,Nome não encontrado
Potássio,mg,246,"41,9","27,1","59,1","34,5",BRC0182A,Nome não encontrado
Manganês,mg,"0,16","0,03","0,02","0,04","0,02",BRC0182A,Nome não encontrado
Zinco,mg,"0,67","0,11","0,07","0,16","0,09",BRC0182A,Nome não encontrado
Cobre,mg,"0,07","0,01","0,01","0,02","0,01",BRC0182A,Nome não encontrado
Selênio,mcg,"0,65","0,11","0,07","0,16","0,09",BRC0182A,Nome não encontrado
Vitamina A (RE),mcg,"36,6","6,22","4,02","8,77","5,12",BRC0182A,Nome não encontrado
Vitamina A (RAE),mcg,"18,3","3,11","2,01","4,39","2,56",BRC0182A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,03","0,02","0,05","0,03",BRC0182A,Nome não encontrado
Tiamina,mg,"0,34","0,06","0,04","0,08","0,05",BRC0182A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0182A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0182A,Nome não encontrado
Vitamina B6,mg,"0,06","0,01","0,01","0,01","0,01",BRC0182A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Vitamina C,mg,"0,45","0,08","0,05","0,11","0,06",BRC0182A,Nome não encontrado
Equivalente de folato,mcg,"56,6","9,63","6,23","13,6","7,93",BRC0182A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0182A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0182A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0182A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0182A,Nome não encontrado
