componente,unidade,Valor por 100g,Dose/ Taça (50 mL),codigo_alimento,nome_alimento
Energia,kJ,902,450,BRC0006H,Nome não encontrado
Energia,kcal,218,108,BRC0006H,Nome não encontrado
Umidade,g,"68,9","34,4",BRC0006H,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0006H,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0006H,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0006H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0006H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0006H,Nome não encontrado
Álcool,g,"31,1","15,6",BRC0006H,Nome não encontrado
Cinzas,g,"0,01","0,01",BRC0006H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0006H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0006H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0006H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0006H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0006H,Nome não encontrado
Cálcio,mg,traços,traços,BRC0006H,Nome não encontrado
Ferro,mg,traços,traços,BRC0006H,Nome não encontrado
Sódio,mg,"3,15","1,57",BRC0006H,Nome não encontrado
Magnésio,mg,traços,traços,BRC0006H,Nome não encontrado
Fósforo,mg,traços,traços,BRC0006H,Nome não encontrado
Potássio,mg,traços,traços,BRC0006H,Nome não encontrado
Manganês,mg,"0,06","0,03",BRC0006H,Nome não encontrado
Zinco,mg,traços,traços,BRC0006H,Nome não encontrado
Cobre,mg,"0,26","0,13",BRC0006H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0006H,Nome não encontrado
Tiamina,mg,traços,traços,BRC0006H,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0006H,Nome não encontrado
Niacina,mg,traços,traços,BRC0006H,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0006H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0006H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0006H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0006H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0006H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0006H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0006H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0006H,Nome não encontrado
