componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,552,BRC0504E,Nome não encontrado
Energia,kcal,131,BRC0504E,Nome não encontrado
Umidade,g,"71,6",BRC0504E,Nome não encontrado
Carboidrato total,g,"0,38",BRC0504E,Nome não encontrado
Carboidrato disponível,g,"0,38",BRC0504E,Nome não encontrado
Proteína,g,"19,9",BRC0504E,Nome não encontrado
Lipídios,g,"5,58",BRC0504E,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0504E,Nome não encontrado
Álcool,g,"0,00",BRC0504E,Nome não encontrado
Cinzas,g,"2,54",BRC0504E,Nome não encontrado
Colesterol,mg,"9,57",BRC0504E,Nome não encontrado
Ácidos graxos saturados,g,"1,03",BRC0504E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,37",BRC0504E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,03",BRC0504E,Nome não encontrado
Ácidos graxos trans,g,"0,03",BRC0504E,Nome não encontrado
Cálcio,mg,175,BRC0504E,Nome não encontrado
Ferro,mg,"0,36",BRC0504E,Nome não encontrado
Sódio,mg,219,BRC0504E,Nome não encontrado
Magnésio,mg,"23,8",BRC0504E,Nome não encontrado
Fósforo,mg,216,BRC0504E,Nome não encontrado
Potássio,mg,244,BRC0504E,Nome não encontrado
Manganês,mg,"0,08",BRC0504E,Nome não encontrado
Zinco,mg,"0,99",BRC0504E,Nome não encontrado
Cobre,mg,"0,07",BRC0504E,Nome não encontrado
Selênio,mcg,,BRC0504E,Nome não encontrado
Vitamina A (RE),mcg,"0,50",BRC0504E,Nome não encontrado
Vitamina A (RAE),mcg,"0,50",BRC0504E,Nome não encontrado
Vitamina D,mcg,"0,61",BRC0504E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,BRC0504E,Nome não encontrado
Tiamina,mg,"0,03",BRC0504E,Nome não encontrado
Riboflavina,mg,"0,05",BRC0504E,Nome não encontrado
Niacina,mg,"2,28",BRC0504E,Nome não encontrado
Vitamina B6,mg,"0,09",BRC0504E,Nome não encontrado
Vitamina B12,mcg,,BRC0504E,Nome não encontrado
Vitamina C,mg,,BRC0504E,Nome não encontrado
Equivalente de folato,mcg,,BRC0504E,Nome não encontrado
Sal de adição,g,"0,00",BRC0504E,Nome não encontrado
Açúcar de adição,g,"0,45",BRC0504E,Nome não encontrado
Gordura de adição,g,-,BRC0504E,Nome não encontrado
Proteína vegetal,g,-,BRC0504E,Nome não encontrado
Proteína animal,g,-,BRC0504E,Nome não encontrado
