componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,719,359,790,647,BRC1098A,Nome não encontrado
Energia,kcal,171,85,188,154,BRC1098A,Nome não encontrado
Umidade,g,"63,3","31,6","69,6","57,0",BRC1098A,Nome não encontrado
Carboidrato total,g,"20,0","10,0","22,0","18,0",BRC1098A,Nome não encontrado
Carboidrato disponível,g,"17,3","8,65","19,0","15,6",BRC1098A,Nome não encontrado
Proteína,g,"9,33","4,67","10,3","8,40",BRC1098A,Nome não encontrado
Lipídios,g,"6,61","3,30","7,27","5,95",BRC1098A,Nome não encontrado
Fibra alimentar,g,"2,72","1,36","2,99","2,44",BRC1098A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1098A,Nome não encontrado
Cinzas,g,"0,75","0,37","0,82","0,67",BRC1098A,Nome não encontrado
Colesterol,mg,"10,1","5,05","11,1","9,10",BRC1098A,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,72","1,58","1,29",BRC1098A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,72","0,86","1,90","1,55",BRC1098A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,16","1,58","3,48","2,85",BRC1098A,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,06","0,05",BRC1098A,Nome não encontrado
Cálcio,mg,"11,7","5,84","12,9","10,5",BRC1098A,Nome não encontrado
Ferro,mg,"0,86","0,43","0,94","0,77",BRC1098A,Nome não encontrado
Sódio,mg,132,"66,3",145,119,BRC1098A,Nome não encontrado
Magnésio,mg,"12,7","6,36","14,0","11,4",BRC1098A,Nome não encontrado
Fósforo,mg,"74,6","37,3","82,1","67,2",BRC1098A,Nome não encontrado
Potássio,mg,117,"58,6",128,105,BRC1098A,Nome não encontrado
Manganês,mg,"0,26","0,13","0,29","0,24",BRC1098A,Nome não encontrado
Zinco,mg,"1,51","0,75","1,66","1,36",BRC1098A,Nome não encontrado
Cobre,mg,"0,09","0,05","0,10","0,08",BRC1098A,Nome não encontrado
Selênio,mcg,"1,97","0,99","2,17","1,78",BRC1098A,Nome não encontrado
Vitamina A (RE),mcg,"8,72","4,36","9,59","7,84",BRC1098A,Nome não encontrado
Vitamina A (RAE),mcg,"4,58","2,29","5,04","4,13",BRC1098A,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,06","0,05",BRC1098A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,20","0,43","0,35",BRC1098A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,08","0,07",BRC1098A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,04","0,04",BRC1098A,Nome não encontrado
Niacina,mg,"1,75","0,88","1,93","1,58",BRC1098A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,09","0,08",BRC1098A,Nome não encontrado
Vitamina B12,mcg,"0,24","0,12","0,27","0,22",BRC1098A,Nome não encontrado
Vitamina C,mg,"1,56","0,78","1,72","1,40",BRC1098A,Nome não encontrado
Equivalente de folato,mcg,"15,4","7,69","16,9","13,8",BRC1098A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1098A,Nome não encontrado
Açúcar de adição,g,"0,32","0,16","0,35","0,29",BRC1098A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1098A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1098A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1098A,Nome não encontrado
