componente,unidade,Valor por 100g,Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,2055,164,BRC0007R,Nome não encontrado
Energia,kcal,489,39,BRC0007R,Nome não encontrado
Umidade,g,"0,76","0,06",BRC0007R,Nome não encontrado
Carboidrato total,g,"75,3","6,03",BRC0007R,Nome não encontrado
Carboidrato disponível,g,"74,9","5,99",BRC0007R,Nome não encontrado
Proteína,g,"3,30","0,26",BRC0007R,Nome não encontrado
Lipídios,g,"19,5","1,56",BRC0007R,Nome não encontrado
Fibra alimentar,g,"0,44","0,04",BRC0007R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0007R,Nome não encontrado
Cinzas,g,"1,10","0,09",BRC0007R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Ácidos graxos saturados,g,"11,4","0,91",BRC0007R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,81","0,46",BRC0007R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,02",BRC0007R,Nome não encontrado
Ácidos graxos trans,g,"3,29","0,26",BRC0007R,Nome não encontrado
Cálcio,mg,"2,05","0,16",BRC0007R,Nome não encontrado
Ferro,mg,"0,27","0,02",BRC0007R,Nome não encontrado
Sódio,mg,126,"10,1",BRC0007R,Nome não encontrado
Magnésio,mg,"1,02","0,08",BRC0007R,Nome não encontrado
Fósforo,mg,294,"23,6",BRC0007R,Nome não encontrado
Potássio,mg,684,"54,7",BRC0007R,Nome não encontrado
Manganês,mg,,,BRC0007R,Nome não encontrado
Zinco,mg,"0,07","0,01",BRC0007R,Nome não encontrado
Cobre,mg,,,BRC0007R,Nome não encontrado
Selênio,mcg,,,BRC0007R,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0007R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0007R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0007R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,75","0,06",BRC0007R,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0007R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0007R,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0007R,Nome não encontrado
Sal de adição,g,,,BRC0007R,Nome não encontrado
Açúcar de adição,g,,,BRC0007R,Nome não encontrado
Gordura de adição,g,,,BRC0007R,Nome não encontrado
Proteína vegetal,g,,,BRC0007R,Nome não encontrado
Proteína animal,g,,,BRC0007R,Nome não encontrado
