componente,unidade,Valor por 100g,Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,391,156,BRC0007E,Nome não encontrado
Energia,kcal,92,36,BRC0007E,Nome não encontrado
Umidade,g,"76,3","30,5",BRC0007E,Nome não encontrado
Carboidrato total,g,"0,09","0,04",BRC0007E,Nome não encontrado
Carboidrato disponível,g,"0,09","0,04",BRC0007E,Nome não encontrado
Proteína,g,"21,4","8,55",BRC0007E,Nome não encontrado
Lipídios,g,"0,70","0,28",BRC0007E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0007E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0007E,Nome não encontrado
Cinzas,g,"1,57","0,63",BRC0007E,Nome não encontrado
Colesterol,mg,"32,5","13,0",BRC0007E,Nome não encontrado
Ácidos graxos saturados,g,"0,11","0,04",BRC0007E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,05",BRC0007E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,11",BRC0007E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0007E,Nome não encontrado
Cálcio,mg,"44,9","17,9",BRC0007E,Nome não encontrado
Ferro,mg,"0,50","0,20",BRC0007E,Nome não encontrado
Sódio,mg,162,"64,8",BRC0007E,Nome não encontrado
Magnésio,mg,"36,6","14,6",BRC0007E,Nome não encontrado
Fósforo,mg,217,"87,2",BRC0007E,Nome não encontrado
Potássio,mg,164,"65,9",BRC0007E,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0007E,Nome não encontrado
Zinco,mg,"1,93","0,77",BRC0007E,Nome não encontrado
Cobre,mg,"0,39","0,16",BRC0007E,Nome não encontrado
Selênio,mcg,,,BRC0007E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0007E,Nome não encontrado
Vitamina A (RAE),mcg,"2,32","0,93",BRC0007E,Nome não encontrado
Vitamina D,mcg,,,BRC0007E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0007E,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0007E,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0007E,Nome não encontrado
Niacina,mg,"3,89","1,55",BRC0007E,Nome não encontrado
Vitamina B6,mg,"0,14","0,05",BRC0007E,Nome não encontrado
Vitamina B12,mcg,"3,20","1,28",BRC0007E,Nome não encontrado
Vitamina C,mg,"1,83","0,73",BRC0007E,Nome não encontrado
Equivalente de folato,mcg,"0,92","0,37",BRC0007E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0007E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0007E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0007E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0007E,Nome não encontrado
Proteína animal,g,"21,4","8,55",BRC0007E,Nome não encontrado
