componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1832,274,BRC0041R,Nome não encontrado
Energia,kcal,436,65,BRC0041R,Nome não encontrado
Umidade,g,"1,50","0,23",BRC0041R,Nome não encontrado
Carboidrato total,g,"70,8","10,6",BRC0041R,Nome não encontrado
Carboidrato disponível,g,"62,4","9,35",BRC0041R,Nome não encontrado
Proteína,g,"11,2","1,68",BRC0041R,Nome não encontrado
Lipídios,g,"13,9","2,09",BRC0041R,Nome não encontrado
Fibra alimentar,g,"8,45","1,27",BRC0041R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0041R,Nome não encontrado
Cinzas,g,"2,60","0,39",BRC0041R,Nome não encontrado
Colesterol,mg,121,"18,2",BRC0041R,Nome não encontrado
Ácidos graxos saturados,g,"7,95","1,19",BRC0041R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,37","0,66",BRC0041R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,11",BRC0041R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0041R,Nome não encontrado
Cálcio,mg,255,"38,3",BRC0041R,Nome não encontrado
Ferro,mg,"1,46","0,22",BRC0041R,Nome não encontrado
Sódio,mg,100,"15,1",BRC0041R,Nome não encontrado
Magnésio,mg,"53,2","7,97",BRC0041R,Nome não encontrado
Fósforo,mg,310,"46,6",BRC0041R,Nome não encontrado
Potássio,mg,380,"57,0",BRC0041R,Nome não encontrado
Manganês,mg,,,BRC0041R,Nome não encontrado
Zinco,mg,"1,70","0,26",BRC0041R,Nome não encontrado
Cobre,mg,,,BRC0041R,Nome não encontrado
Selênio,mcg,,,BRC0041R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0041R,Nome não encontrado
Vitamina A (RAE),mcg,121,"18,2",BRC0041R,Nome não encontrado
Vitamina D,mcg,,,BRC0041R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,58","0,54",BRC0041R,Nome não encontrado
Tiamina,mg,"0,12","0,02",BRC0041R,Nome não encontrado
Riboflavina,mg,"0,55","0,08",BRC0041R,Nome não encontrado
Niacina,mg,"0,15","0,02",BRC0041R,Nome não encontrado
Vitamina B6,mg,"0,15","0,02",BRC0041R,Nome não encontrado
Vitamina B12,mcg,"1,25","0,19",BRC0041R,Nome não encontrado
Vitamina C,mg,"0,27","0,04",BRC0041R,Nome não encontrado
Equivalente de folato,mcg,"39,9","5,98",BRC0041R,Nome não encontrado
Sal de adição,g,,,BRC0041R,Nome não encontrado
Açúcar de adição,g,,,BRC0041R,Nome não encontrado
Gordura de adição,g,,,BRC0041R,Nome não encontrado
Proteína vegetal,g,,,BRC0041R,Nome não encontrado
Proteína animal,g,,,BRC0041R,Nome não encontrado
