componente,unidade,Valor por 100g,Colher sopa cheia (22 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1240,272,173,BRC0009T,Nome não encontrado
Energia,kcal,295,64,41,BRC0009T,Nome não encontrado
Umidade,g,"13,3","2,92","1,86",BRC0009T,Nome não encontrado
Carboidrato total,g,"59,1","13,0","8,27",BRC0009T,Nome não encontrado
Carboidrato disponível,g,"37,6","8,27","5,26",BRC0009T,Nome não encontrado
Proteína,g,"22,4","4,93","3,14",BRC0009T,Nome não encontrado
Lipídios,g,"1,28","0,28","0,18",BRC0009T,Nome não encontrado
Fibra alimentar,g,"21,5","4,73","3,01",BRC0009T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Cinzas,g,"3,93","0,86","0,55",BRC0009T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,05","0,03",BRC0009T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,02","0,01",BRC0009T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,83","0,18","0,12",BRC0009T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0009T,Nome não encontrado
Cálcio,mg,122,"27,0","17,2",BRC0009T,Nome não encontrado
Ferro,mg,"9,83","2,16","1,38",BRC0009T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0009T,Nome não encontrado
Magnésio,mg,141,"31,2","19,8",BRC0009T,Nome não encontrado
Fósforo,mg,479,105,"67,2",BRC0009T,Nome não encontrado
Potássio,mg,1441,317,201,BRC0009T,Nome não encontrado
Manganês,mg,"1,35","0,30","0,19",BRC0009T,Nome não encontrado
Zinco,mg,"3,37","0,74","0,47",BRC0009T,Nome não encontrado
Cobre,mg,"0,94","0,21","0,13",BRC0009T,Nome não encontrado
Selênio,mcg,"11,9","2,62","1,67",BRC0009T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0009T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0009T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,04","0,03",BRC0009T,Nome não encontrado
Tiamina,mg,"0,12","0,03","0,02",BRC0009T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0009T,Nome não encontrado
Niacina,mg,"4,69","1,03","0,66",BRC0009T,Nome não encontrado
Vitamina B6,mg,"0,60","0,13","0,08",BRC0009T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Equivalente de folato,mcg,432,"95,2","60,6",BRC0009T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
Proteína vegetal,g,"22,4","4,93","3,14",BRC0009T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0009T,Nome não encontrado
