componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,476,332,261,BRC0262E,Nome não encontrado
Energia,kcal,114,79,62,BRC0262E,Nome não encontrado
Umidade,g,"72,6","50,8","39,9",BRC0262E,Nome não encontrado
Carboidrato total,g,"13,4","9,41","7,39",BRC0262E,Nome não encontrado
Carboidrato disponível,g,"12,4","8,70","6,84",BRC0262E,Nome não encontrado
Proteína,g,"9,97","6,98","5,48",BRC0262E,Nome não encontrado
Lipídios,g,"2,48","1,74","1,36",BRC0262E,Nome não encontrado
Fibra alimentar,g,"1,01","0,70","0,55",BRC0262E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0262E,Nome não encontrado
Cinzas,g,"1,56","1,09","0,86",BRC0262E,Nome não encontrado
Colesterol,mg,"60,6","42,4","33,3",BRC0262E,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,33","0,26",BRC0262E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,35","0,27",BRC0262E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,17","0,82","0,64",BRC0262E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0262E,Nome não encontrado
Cálcio,mg,"30,9","21,6","17,0",BRC0262E,Nome não encontrado
Ferro,mg,"5,91","4,14","3,25",BRC0262E,Nome não encontrado
Sódio,mg,340,238,187,BRC0262E,Nome não encontrado
Magnésio,mg,"27,0","18,9","14,8",BRC0262E,Nome não encontrado
Fósforo,mg,"90,5","63,3","49,8",BRC0262E,Nome não encontrado
Potássio,mg,179,125,"98,7",BRC0262E,Nome não encontrado
Manganês,mg,"0,23","0,16","0,13",BRC0262E,Nome não encontrado
Zinco,mg,"1,20","0,84","0,66",BRC0262E,Nome não encontrado
Cobre,mg,"0,49","0,34","0,27",BRC0262E,Nome não encontrado
Selênio,mcg,"9,63","6,74","5,30",BRC0262E,Nome não encontrado
Vitamina A (RE),mcg,"9,85","6,90","5,42",BRC0262E,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","13,6","10,7",BRC0262E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0262E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,41","0,32",BRC0262E,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03",BRC0262E,Nome não encontrado
Riboflavina,mg,"0,04","0,03","0,02",BRC0262E,Nome não encontrado
Niacina,mg,"0,81","0,56","0,44",BRC0262E,Nome não encontrado
Vitamina B6,mg,"0,10","0,07","0,06",BRC0262E,Nome não encontrado
Vitamina B12,mcg,"4,96","3,47","2,73",BRC0262E,Nome não encontrado
Vitamina C,mg,"10,8","7,53","5,92",BRC0262E,Nome não encontrado
Equivalente de folato,mcg,"16,2","11,3","8,90",BRC0262E,Nome não encontrado
Sal de adição,g,"0,45","0,32","0,25",BRC0262E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0262E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0262E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0262E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0262E,Nome não encontrado
