componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,392,215,BRC0259N,Nome não encontrado
Energia,kcal,93,50,BRC0259N,Nome não encontrado
Umidade,g,"77,4","42,6",BRC0259N,Nome não encontrado
Carboidrato total,g,"7,24","3,98",BRC0259N,Nome não encontrado
Carboidrato disponível,g,"6,48","3,57",BRC0259N,Nome não encontrado
Proteína,g,"13,3","7,29",BRC0259N,Nome não encontrado
Lipídios,g,"1,36","0,75",BRC0259N,Nome não encontrado
Fibra alimentar,g,"0,75","0,41",BRC0259N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0259N,Nome não encontrado
Cinzas,g,"0,72","0,39",BRC0259N,Nome não encontrado
Colesterol,mg,"36,1","19,9",BRC0259N,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,26",BRC0259N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,47","0,26",BRC0259N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,14",BRC0259N,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0259N,Nome não encontrado
Cálcio,mg,"8,49","4,67",BRC0259N,Nome não encontrado
Ferro,mg,"0,31","0,17",BRC0259N,Nome não encontrado
Sódio,mg,"15,7","8,65",BRC0259N,Nome não encontrado
Magnésio,mg,"9,09","5,00",BRC0259N,Nome não encontrado
Fósforo,mg,104,"57,6",BRC0259N,Nome não encontrado
Potássio,mg,198,109,BRC0259N,Nome não encontrado
Manganês,mg,"0,09","0,05",BRC0259N,Nome não encontrado
Zinco,mg,"0,53","0,29",BRC0259N,Nome não encontrado
Cobre,mg,"0,07","0,04",BRC0259N,Nome não encontrado
Selênio,mcg,"4,86","2,67",BRC0259N,Nome não encontrado
Vitamina A (RE),mcg,"20,2","11,1",BRC0259N,Nome não encontrado
Vitamina A (RAE),mcg,"10,3","5,67",BRC0259N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0259N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,11",BRC0259N,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0259N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0259N,Nome não encontrado
Niacina,mg,"3,82","2,10",BRC0259N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0259N,Nome não encontrado
Vitamina B12,mcg,"0,05","0,03",BRC0259N,Nome não encontrado
Vitamina C,mg,"6,27","3,45",BRC0259N,Nome não encontrado
Equivalente de folato,mcg,"5,86","3,22",BRC0259N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0259N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0259N,Nome não encontrado
Gordura de adição,g,-,-,BRC0259N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0259N,Nome não encontrado
Proteína animal,g,-,-,BRC0259N,Nome não encontrado
