componente,unidade,Valor por 100g,Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,706,247,BRC0061L,Nome não encontrado
Energia,kcal,171,59,BRC0061L,Nome não encontrado
Umidade,g,"74,7","26,1",BRC0061L,Nome não encontrado
Carboidrato total,g,"8,78","3,07",BRC0061L,Nome não encontrado
Carboidrato disponível,g,"7,85","2,75",BRC0061L,Nome não encontrado
Proteína,g,"1,56","0,55",BRC0061L,Nome não encontrado
Lipídios,g,"12,7","4,46",BRC0061L,Nome não encontrado
Fibra alimentar,g,"0,93","0,33",BRC0061L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0061L,Nome não encontrado
Cinzas,g,"2,22","0,78",BRC0061L,Nome não encontrado
Colesterol,mg,"29,9","10,5",BRC0061L,Nome não encontrado
Ácidos graxos saturados,g,"7,51","2,63",BRC0061L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,17","1,11",BRC0061L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,09",BRC0061L,Nome não encontrado
Ácidos graxos trans,g,"0,58","0,20",BRC0061L,Nome não encontrado
Cálcio,mg,"19,0","6,64",BRC0061L,Nome não encontrado
Ferro,mg,"0,71","0,25",BRC0061L,Nome não encontrado
Sódio,mg,779,272,BRC0061L,Nome não encontrado
Magnésio,mg,"10,1","3,54",BRC0061L,Nome não encontrado
Fósforo,mg,"26,4","9,22",BRC0061L,Nome não encontrado
Potássio,mg,"79,0","27,6",BRC0061L,Nome não encontrado
Manganês,mg,"0,22","0,08",BRC0061L,Nome não encontrado
Zinco,mg,"0,14","0,05",BRC0061L,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0061L,Nome não encontrado
Selênio,mcg,"1,58","0,55",BRC0061L,Nome não encontrado
Vitamina A (RE),mcg,145,"51,0",BRC0061L,Nome não encontrado
Vitamina A (RAE),mcg,147,"51,5",BRC0061L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0061L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,03",BRC0061L,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0061L,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0061L,Nome não encontrado
Niacina,mg,"0,12","0,04",BRC0061L,Nome não encontrado
Vitamina B6,mg,"0,05","0,02",BRC0061L,Nome não encontrado
Vitamina B12,mcg,"0,06","0,02",BRC0061L,Nome não encontrado
Vitamina C,mg,"2,07","0,72",BRC0061L,Nome não encontrado
Equivalente de folato,mcg,"3,94","1,38",BRC0061L,Nome não encontrado
Sal de adição,g,,,BRC0061L,Nome não encontrado
Açúcar de adição,g,,,BRC0061L,Nome não encontrado
Gordura de adição,g,-,-,BRC0061L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0061L,Nome não encontrado
Proteína animal,g,-,-,BRC0061L,Nome não encontrado
