componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,137,327,225,BRC0039C,Nome não encontrado
Energia,kcal,32,77,53,BRC0039C,Nome não encontrado
Umidade,g,"91,8",220,151,BRC0039C,Nome não encontrado
Carboidrato total,g,"7,32","17,6","12,1",BRC0039C,Nome não encontrado
Carboidrato disponível,g,"7,32","17,6","12,1",BRC0039C,Nome não encontrado
Proteína,g,"0,57","1,36","0,93",BRC0039C,Nome não encontrado
Lipídios,g,"0,07","0,16","0,11",BRC0039C,Nome não encontrado
Fibra alimentar,g,traços,traços,traços,BRC0039C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Cinzas,g,"0,25","0,60","0,41",BRC0039C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0039C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0039C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,05","0,03",BRC0039C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Cálcio,mg,"5,26","12,6","8,68",BRC0039C,Nome não encontrado
Ferro,mg,"0,05","0,13","0,09",BRC0039C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0039C,Nome não encontrado
Magnésio,mg,"5,92","14,2","9,77",BRC0039C,Nome não encontrado
Fósforo,mg,"13,0","31,3","21,5",BRC0039C,Nome não encontrado
Potássio,mg,112,270,185,BRC0039C,Nome não encontrado
Manganês,mg,"0,01","0,02","0,02",BRC0039C,Nome não encontrado
Zinco,mg,"0,05","0,13","0,09",BRC0039C,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0039C,Nome não encontrado
Selênio,mcg,"0,43","1,03","0,71",BRC0039C,Nome não encontrado
Vitamina A (RE),mcg,"1,76","4,22","2,90",BRC0039C,Nome não encontrado
Vitamina A (RAE),mcg,"0,88","2,11","1,45",BRC0039C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,18","0,13",BRC0039C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0039C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0039C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0039C,Nome não encontrado
Vitamina B6,mg,"0,03","0,07","0,05",BRC0039C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Vitamina C,mg,"34,5","82,8","56,9",BRC0039C,Nome não encontrado
Equivalente de folato,mcg,"5,59","13,4","9,22",BRC0039C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0039C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0039C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0039C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0039C,Nome não encontrado
