componente,unidade,Valor por 100g,Porção Média (80 g),codigo_alimento,nome_alimento
Energia,kJ,331,265,BRC0250E,Nome não encontrado
Energia,kcal,78,62,BRC0250E,Nome não encontrado
Umidade,g,"79,4","63,5",BRC0250E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0250E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0250E,Nome não encontrado
Proteína,g,"17,9","14,3",BRC0250E,Nome não encontrado
Lipídios,g,"0,74","0,59",BRC0250E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0250E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0250E,Nome não encontrado
Cinzas,g,"1,96","1,57",BRC0250E,Nome não encontrado
Colesterol,mg,"97,0","77,6",BRC0250E,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,16",BRC0250E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,10",BRC0250E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,21",BRC0250E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0250E,Nome não encontrado
Cálcio,mg,"91,0","72,8",BRC0250E,Nome não encontrado
Ferro,mg,"0,50","0,40",BRC0250E,Nome não encontrado
Sódio,mg,395,316,BRC0250E,Nome não encontrado
Magnésio,mg,"36,0","28,8",BRC0250E,Nome não encontrado
Fósforo,mg,234,187,BRC0250E,Nome não encontrado
Potássio,mg,259,207,BRC0250E,Nome não encontrado
Manganês,mg,"0,07","0,06",BRC0250E,Nome não encontrado
Zinco,mg,"3,81","3,05",BRC0250E,Nome não encontrado
Cobre,mg,"0,81","0,65",BRC0250E,Nome não encontrado
Selênio,mcg,"42,8","34,2",BRC0250E,Nome não encontrado
Vitamina A (RE),mcg,"1,00","0,80",BRC0250E,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","0,80",BRC0250E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0250E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,84","1,47",BRC0250E,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0250E,Nome não encontrado
Riboflavina,mg,"0,09","0,07",BRC0250E,Nome não encontrado
Niacina,mg,"2,75","2,20",BRC0250E,Nome não encontrado
Vitamina B6,mg,"0,16","0,12",BRC0250E,Nome não encontrado
Vitamina B12,mcg,"3,33","2,66",BRC0250E,Nome não encontrado
Vitamina C,mg,"3,30","2,64",BRC0250E,Nome não encontrado
Equivalente de folato,mcg,"51,0","40,8",BRC0250E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0250E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0250E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0250E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0250E,Nome não encontrado
Proteína animal,g,"17,9","14,3",BRC0250E,Nome não encontrado
