componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,261,117,156,BRC0289E,Nome não encontrado
Energia,kcal,62,27,37,BRC0289E,Nome não encontrado
Umidade,g,"85,3","38,4","51,2",BRC0289E,Nome não encontrado
Carboidrato total,g,"3,88","1,75","2,33",BRC0289E,Nome não encontrado
Carboidrato disponível,g,"2,70","1,22","1,62",BRC0289E,Nome não encontrado
Proteína,g,"7,96","3,58","4,78",BRC0289E,Nome não encontrado
Lipídios,g,"1,86","0,84","1,11",BRC0289E,Nome não encontrado
Fibra alimentar,g,"1,18","0,53","0,71",BRC0289E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0289E,Nome não encontrado
Cinzas,g,"0,93","0,42","0,56",BRC0289E,Nome não encontrado
Colesterol,mg,"96,5","43,4","57,9",BRC0289E,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,17","0,23",BRC0289E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,16","0,22",BRC0289E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,86","0,39","0,51",BRC0289E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0289E,Nome não encontrado
Cálcio,mg,"50,4","22,7","30,2",BRC0289E,Nome não encontrado
Ferro,mg,"1,18","0,53","0,71",BRC0289E,Nome não encontrado
Sódio,mg,167,"75,5",100,BRC0289E,Nome não encontrado
Magnésio,mg,"14,6","6,55","8,74",BRC0289E,Nome não encontrado
Fósforo,mg,124,"55,8","74,4",BRC0289E,Nome não encontrado
Potássio,mg,163,"73,5","98,0",BRC0289E,Nome não encontrado
Manganês,mg,"0,13","0,06","0,08",BRC0289E,Nome não encontrado
Zinco,mg,"0,60","0,27","0,36",BRC0289E,Nome não encontrado
Cobre,mg,"0,19","0,09","0,12",BRC0289E,Nome não encontrado
Selênio,mcg,"0,14","0,06","0,09",BRC0289E,Nome não encontrado
Vitamina A (RE),mcg,110,"49,7","66,3",BRC0289E,Nome não encontrado
Vitamina A (RAE),mcg,"57,2","25,7","34,3",BRC0289E,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,02",BRC0289E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,14","0,51","0,69",BRC0289E,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,02",BRC0289E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01",BRC0289E,Nome não encontrado
Niacina,mg,"0,21","0,10","0,13",BRC0289E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,03",BRC0289E,Nome não encontrado
Vitamina B12,mcg,"0,64","0,29","0,38",BRC0289E,Nome não encontrado
Vitamina C,mg,"15,5","6,98","9,31",BRC0289E,Nome não encontrado
Equivalente de folato,mcg,"22,4","10,1","13,5",BRC0289E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0289E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0289E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0289E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0289E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0289E,Nome não encontrado
