componente,unidade,Valor por 100g,Colher sopa cheia (18 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1326,238,132,BRC0168C,Nome não encontrado
Energia,kcal,313,56,31,BRC0168C,Nome não encontrado
Umidade,g,"18,0","3,23","1,80",BRC0168C,Nome não encontrado
Carboidrato total,g,"74,2","13,4","7,42",BRC0168C,Nome não encontrado
Carboidrato disponível,g,"69,1","12,4","6,91",BRC0168C,Nome não encontrado
Proteína,g,"4,25","0,77","0,43",BRC0168C,Nome não encontrado
Lipídios,g,"1,03","0,18","0,10",BRC0168C,Nome não encontrado
Fibra alimentar,g,"5,06","0,91","0,51",BRC0168C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Cinzas,g,"2,56","0,46","0,26",BRC0168C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Ácidos graxos saturados,g,"0,35","0,06","0,04",BRC0168C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,01","0,00",BRC0168C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,06","0,03",BRC0168C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Cálcio,mg,"34,8","6,26","3,48",BRC0168C,Nome não encontrado
Ferro,mg,"0,77","0,14","0,08",BRC0168C,Nome não encontrado
Sódio,mg,"10,7","1,92","1,07",BRC0168C,Nome não encontrado
Magnésio,mg,"27,4","4,93","2,74",BRC0168C,Nome não encontrado
Fósforo,mg,"66,6","12,0","6,66",BRC0168C,Nome não encontrado
Potássio,mg,801,144,"80,2",BRC0168C,Nome não encontrado
Manganês,mg,"0,70","0,13","0,07",BRC0168C,Nome não encontrado
Zinco,mg,"0,21","0,04","0,02",BRC0168C,Nome não encontrado
Cobre,mg,"0,53","0,10","0,05",BRC0168C,Nome não encontrado
Selênio,mcg,"0,55","0,10","0,06",BRC0168C,Nome não encontrado
Vitamina A (RE),mcg,"27,3","4,91","2,73",BRC0168C,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","2,45","1,36",BRC0168C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,24","0,22","0,12",BRC0168C,Nome não encontrado
Tiamina,mg,"0,10","0,02","0,01",BRC0168C,Nome não encontrado
Riboflavina,mg,"0,12","0,02","0,01",BRC0168C,Nome não encontrado
Niacina,mg,"0,74","0,13","0,07",BRC0168C,Nome não encontrado
Vitamina B6,mg,"0,16","0,03","0,02",BRC0168C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Vitamina C,mg,"14,5","2,61","1,45",BRC0168C,Nome não encontrado
Equivalente de folato,mcg,"5,05","0,91","0,51",BRC0168C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Açúcar de adição,g,,,,BRC0168C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
Proteína vegetal,g,"4,25","0,77","0,43",BRC0168C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0168C,Nome não encontrado
