componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,174,24,BRC0011L,Nome não encontrado
Energia,kcal,41,5,BRC0011L,Nome não encontrado
Umidade,g,"82,0","11,5",BRC0011L,Nome não encontrado
Carboidrato total,g,"9,15","1,28",BRC0011L,Nome não encontrado
Carboidrato disponível,g,"8,90","1,25",BRC0011L,Nome não encontrado
Proteína,g,"1,17","0,16",BRC0011L,Nome não encontrado
Lipídios,g,"0,02","0,00",BRC0011L,Nome não encontrado
Fibra alimentar,g,"0,22","0,03",BRC0011L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0011L,Nome não encontrado
Cinzas,g,"7,67","1,07",BRC0011L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0011L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0011L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0011L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0011L,Nome não encontrado
Ácidos graxos trans,g,-,-,BRC0011L,Nome não encontrado
Cálcio,mg,"89,8","12,6",BRC0011L,Nome não encontrado
Ferro,mg,"4,45","0,62",BRC0011L,Nome não encontrado
Sódio,mg,822,115,BRC0011L,Nome não encontrado
Magnésio,mg,"10,9","1,53",BRC0011L,Nome não encontrado
Fósforo,mg,"50,4","7,05",BRC0011L,Nome não encontrado
Potássio,mg,671,"94,0",BRC0011L,Nome não encontrado
Manganês,mg,,,BRC0011L,Nome não encontrado
Zinco,mg,"0,16","0,02",BRC0011L,Nome não encontrado
Cobre,mg,,,BRC0011L,Nome não encontrado
Selênio,mcg,,,BRC0011L,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0011L,Nome não encontrado
Vitamina A (RAE),mcg,"10,00","1,40",BRC0011L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0011L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,02",BRC0011L,Nome não encontrado
Tiamina,mg,"0,06","0,01",BRC0011L,Nome não encontrado
Riboflavina,mg,"0,11","0,02",BRC0011L,Nome não encontrado
Niacina,mg,"0,59","0,08",BRC0011L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0011L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0011L,Nome não encontrado
Vitamina C,mg,"10,9","1,53",BRC0011L,Nome não encontrado
Equivalente de folato,mcg,"6,71","0,94",BRC0011L,Nome não encontrado
Sal de adição,g,,,BRC0011L,Nome não encontrado
Açúcar de adição,g,,,BRC0011L,Nome não encontrado
Gordura de adição,g,,,BRC0011L,Nome não encontrado
Proteína vegetal,g,,,BRC0011L,Nome não encontrado
Proteína animal,g,,,BRC0011L,Nome não encontrado
