componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,670,334,167,736,602,BRC1037A,Nome não encontrado
Energia,kcal,159,79,39,174,143,BRC1037A,Nome não encontrado
Umidade,g,"65,5","32,7","16,4","72,0","58,9",BRC1037A,Nome não encontrado
Carboidrato total,g,"19,0","9,51","4,75","20,9","17,1",BRC1037A,Nome não encontrado
Carboidrato disponível,g,"18,3","9,17","4,58","20,2","16,5",BRC1037A,Nome não encontrado
Proteína,g,"10,5","5,27","2,64","11,6","9,49",BRC1037A,Nome não encontrado
Lipídios,g,"4,68","2,34","1,17","5,15","4,21",BRC1037A,Nome não encontrado
Fibra alimentar,g,"0,67","0,34","0,17","0,74","0,60",BRC1037A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1037A,Nome não encontrado
Cinzas,g,"0,56","0,28","0,14","0,61","0,50",BRC1037A,Nome não encontrado
Colesterol,mg,"17,1","8,55","4,27","18,8","15,4",BRC1037A,Nome não encontrado
Ácidos graxos saturados,g,"0,86","0,43","0,22","0,95","0,78",BRC1037A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,16","1,58","0,79","3,47","2,84",BRC1037A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,27","0,13","0,59","0,48",BRC1037A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,02","0,02",BRC1037A,Nome não encontrado
Cálcio,mg,"8,73","4,37","2,18","9,61","7,86",BRC1037A,Nome não encontrado
Ferro,mg,"0,54","0,27","0,14","0,60","0,49",BRC1037A,Nome não encontrado
Sódio,mg,"9,50","4,75","2,37","10,4","8,55",BRC1037A,Nome não encontrado
Magnésio,mg,"8,81","4,40","2,20","9,69","7,93",BRC1037A,Nome não encontrado
Fósforo,mg,"93,4","46,7","23,4",102,"84,1",BRC1037A,Nome não encontrado
Potássio,mg,101,"50,7","25,3",111,"91,2",BRC1037A,Nome não encontrado
Manganês,mg,"0,14","0,07","0,03","0,15","0,12",BRC1037A,Nome não encontrado
Zinco,mg,"0,38","0,19","0,09","0,41","0,34",BRC1037A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,01","0,06","0,05",BRC1037A,Nome não encontrado
Selênio,mcg,"9,93","4,96","2,48","10,9","8,93",BRC1037A,Nome não encontrado
Vitamina A (RE),mcg,"11,3","5,65","2,82","12,4","10,2",BRC1037A,Nome não encontrado
Vitamina A (RAE),mcg,"8,50","4,25","2,13","9,35","7,65",BRC1037A,Nome não encontrado
Vitamina D,mcg,"0,29","0,14","0,07","0,31","0,26",BRC1037A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,83","0,41","0,21","0,91","0,74",BRC1037A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03","0,03",BRC1037A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00","0,02","0,02",BRC1037A,Nome não encontrado
Niacina,mg,"2,18","1,09","0,55","2,40","1,96",BRC1037A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01","0,01",BRC1037A,Nome não encontrado
Vitamina B12,mcg,"1,99","1,00","0,50","2,19","1,79",BRC1037A,Nome não encontrado
Vitamina C,mg,"0,34","0,17","0,08","0,37","0,31",BRC1037A,Nome não encontrado
Equivalente de folato,mcg,"50,4","25,2","12,6","55,4","45,3",BRC1037A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1037A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1037A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1037A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1037A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1037A,Nome não encontrado
