componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,358,71,465,BRC0829B,Nome não encontrado
Energia,kcal,85,16,110,BRC0829B,Nome não encontrado
Umidade,g,"79,4","15,9",103,BRC0829B,Nome não encontrado
Carboidrato total,g,"12,9","2,58","16,8",BRC0829B,Nome não encontrado
Carboidrato disponível,g,"12,0","2,39","15,6",BRC0829B,Nome não encontrado
Proteína,g,"5,69","1,14","7,39",BRC0829B,Nome não encontrado
Lipídios,g,"1,36","0,27","1,77",BRC0829B,Nome não encontrado
Fibra alimentar,g,"0,93","0,19","1,21",BRC0829B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0829B,Nome não encontrado
Cinzas,g,"0,90","0,18","1,17",BRC0829B,Nome não encontrado
Colesterol,mg,"14,7","2,94","19,1",BRC0829B,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,07","0,43",BRC0829B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,08","0,50",BRC0829B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,11","0,74",BRC0829B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,02",BRC0829B,Nome não encontrado
Cálcio,mg,"13,4","2,69","17,5",BRC0829B,Nome não encontrado
Ferro,mg,"0,17","0,03","0,22",BRC0829B,Nome não encontrado
Sódio,mg,194,"38,9",252,BRC0829B,Nome não encontrado
Magnésio,mg,"14,3","2,87","18,7",BRC0829B,Nome não encontrado
Fósforo,mg,"51,1","10,2","66,4",BRC0829B,Nome não encontrado
Potássio,mg,108,"21,7",141,BRC0829B,Nome não encontrado
Manganês,mg,"0,06","0,01","0,08",BRC0829B,Nome não encontrado
Zinco,mg,"0,27","0,05","0,34",BRC0829B,Nome não encontrado
Cobre,mg,"0,02","0,00","0,03",BRC0829B,Nome não encontrado
Selênio,mcg,"2,17","0,43","2,82",BRC0829B,Nome não encontrado
Vitamina A (RE),mcg,"41,4","8,27","53,8",BRC0829B,Nome não encontrado
Vitamina A (RAE),mcg,"21,1","4,22","27,4",BRC0829B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0829B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26","0,05","0,34",BRC0829B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0829B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0829B,Nome não encontrado
Niacina,mg,"1,31","0,26","1,70",BRC0829B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0829B,Nome não encontrado
Vitamina B12,mcg,"0,02","0,00","0,03",BRC0829B,Nome não encontrado
Vitamina C,mg,"5,23","1,05","6,80",BRC0829B,Nome não encontrado
Equivalente de folato,mcg,"7,78","1,56","10,1",BRC0829B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0829B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0829B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0829B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0829B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0829B,Nome não encontrado
