componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,499,249,548,449,BRC0222A,Nome não encontrado
Energia,kcal,118,58,129,106,BRC0222A,Nome não encontrado
Umidade,g,"73,0","36,5","80,3","65,7",BRC0222A,Nome não encontrado
Carboidrato total,g,"20,5","10,2","22,5","18,4",BRC0222A,Nome não encontrado
Carboidrato disponível,g,"19,6","9,81","21,6","17,7",BRC0222A,Nome não encontrado
Proteína,g,"2,78","1,39","3,05","2,50",BRC0222A,Nome não encontrado
Lipídios,g,"3,01","1,50","3,31","2,71",BRC0222A,Nome não encontrado
Fibra alimentar,g,"0,86","0,43","0,94","0,77",BRC0222A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0222A,Nome não encontrado
Cinzas,g,"0,73","0,36","0,80","0,66",BRC0222A,Nome não encontrado
Colesterol,mg,"4,28","2,14","4,71","3,86",BRC0222A,Nome não encontrado
Ácidos graxos saturados,g,"0,51","0,25","0,56","0,46",BRC0222A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,98","0,99","2,18","1,78",BRC0222A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,43","0,22","0,48","0,39",BRC0222A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,03","0,02",BRC0222A,Nome não encontrado
Cálcio,mg,"11,5","5,75","12,6","10,3",BRC0222A,Nome não encontrado
Ferro,mg,"0,93","0,46","1,02","0,83",BRC0222A,Nome não encontrado
Sódio,mg,190,"95,3",209,171,BRC0222A,Nome não encontrado
Magnésio,mg,"2,51","1,26","2,76","2,26",BRC0222A,Nome não encontrado
Fósforo,mg,"33,6","16,8","37,0","30,3",BRC0222A,Nome não encontrado
Potássio,mg,"72,3","36,2","79,6","65,1",BRC0222A,Nome não encontrado
Manganês,mg,"0,09","0,05","0,10","0,08",BRC0222A,Nome não encontrado
Zinco,mg,"0,37","0,18","0,40","0,33",BRC0222A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0222A,Nome não encontrado
Selênio,mcg,"1,29","0,64","1,42","1,16",BRC0222A,Nome não encontrado
Vitamina A (RE),mcg,"30,4","15,2","33,5","27,4",BRC0222A,Nome não encontrado
Vitamina A (RAE),mcg,"15,2","7,61","16,7","13,7",BRC0222A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0222A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,27","0,60","0,49",BRC0222A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,03",BRC0222A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,02",BRC0222A,Nome não encontrado
Niacina,mg,"0,98","0,49","1,08","0,88",BRC0222A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,04","0,03",BRC0222A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0222A,Nome não encontrado
Vitamina C,mg,"2,84","1,42","3,12","2,55",BRC0222A,Nome não encontrado
Equivalente de folato,mcg,"52,6","26,3","57,8","47,3",BRC0222A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0222A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0222A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0222A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0222A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0222A,Nome não encontrado
