componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,455,272,204,454,BRC0394E,Nome não encontrado
Energia,kcal,109,65,48,108,BRC0394E,Nome não encontrado
Umidade,g,"78,6","47,1","35,4","78,6",BRC0394E,Nome não encontrado
Carboidrato total,g,"0,97","0,58","0,44","0,97",BRC0394E,Nome não encontrado
Carboidrato disponível,g,"0,46","0,28","0,21","0,46",BRC0394E,Nome não encontrado
Proteína,g,"14,2","8,53","6,40","14,2",BRC0394E,Nome não encontrado
Lipídios,g,"5,44","3,26","2,45","5,44",BRC0394E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0394E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0394E,Nome não encontrado
Cinzas,g,"0,81","0,48","0,36","0,81",BRC0394E,Nome não encontrado
Colesterol,mg,"33,3","20,0","15,0","33,3",BRC0394E,Nome não encontrado
Ácidos graxos saturados,g,"0,88","0,53","0,39","0,88",BRC0394E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,17","0,70","0,53","1,17",BRC0394E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,13","1,88","1,41","3,13",BRC0394E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0394E,Nome não encontrado
Cálcio,mg,"13,3","7,97","5,97","13,3",BRC0394E,Nome não encontrado
Ferro,mg,"0,20","0,12","0,09","0,20",BRC0394E,Nome não encontrado
Sódio,mg,"83,9","50,3","37,7","83,9",BRC0394E,Nome não encontrado
Magnésio,mg,"18,5","11,1","8,32","18,5",BRC0394E,Nome não encontrado
Fósforo,mg,103,"62,0","46,5",103,BRC0394E,Nome não encontrado
Potássio,mg,214,128,"96,7",214,BRC0394E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,03",BRC0394E,Nome não encontrado
Zinco,mg,"0,46","0,28","0,21","0,46",BRC0394E,Nome não encontrado
Cobre,mg,"0,18","0,11","0,08","0,18",BRC0394E,Nome não encontrado
Selênio,mcg,"23,5","14,1","10,6","23,5",BRC0394E,Nome não encontrado
Vitamina A (RE),mcg,"20,2","12,1","9,11","20,2",BRC0394E,Nome não encontrado
Vitamina A (RAE),mcg,"10,1","6,07","4,55","10,1",BRC0394E,Nome não encontrado
Vitamina D,mcg,"0,37","0,22","0,17","0,37",BRC0394E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,42","0,31","0,69",BRC0394E,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,05",BRC0394E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0394E,Nome não encontrado
Niacina,mg,"4,63","2,78","2,08","4,63",BRC0394E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0394E,Nome não encontrado
Vitamina B12,mcg,"1,51","0,91","0,68","1,51",BRC0394E,Nome não encontrado
Vitamina C,mg,"9,62","5,77","4,33","9,62",BRC0394E,Nome não encontrado
Equivalente de folato,mcg,"11,8","7,08","5,31","11,8",BRC0394E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0394E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0394E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0394E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0394E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0394E,Nome não encontrado
