componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,975,487,1072,877,1950,BRC0910A,Nome não encontrado
Energia,kcal,234,116,257,210,467,BRC0910A,Nome não encontrado
Umidade,g,"58,1","29,0","63,9","52,3",116,BRC0910A,Nome não encontrado
Carboidrato total,g,"21,7","10,8","23,8","19,5","43,3",BRC0910A,Nome não encontrado
Carboidrato disponível,g,"20,4","10,2","22,4","18,3","40,8",BRC0910A,Nome não encontrado
Proteína,g,"5,35","2,67","5,88","4,81","10,7",BRC0910A,Nome não encontrado
Lipídios,g,"14,3","7,13","15,7","12,8","28,5",BRC0910A,Nome não encontrado
Fibra alimentar,g,"1,28","0,64","1,40","1,15","2,55",BRC0910A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0910A,Nome não encontrado
Cinzas,g,"0,66","0,33","0,73","0,60","1,33",BRC0910A,Nome não encontrado
Colesterol,mg,"9,42","4,71","10,4","8,47","18,8",BRC0910A,Nome não encontrado
Ácidos graxos saturados,g,"3,06","1,53","3,37","2,76","6,13",BRC0910A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,23","4,12","9,05","7,41","16,5",BRC0910A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,54","1,27","2,79","2,29","5,08",BRC0910A,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,05","0,11","0,09","0,20",BRC0910A,Nome não encontrado
Cálcio,mg,"82,8","41,4","91,1","74,5",165,BRC0910A,Nome não encontrado
Ferro,mg,"1,31","0,65","1,44","1,18","2,62",BRC0910A,Nome não encontrado
Sódio,mg,108,"54,5",119,"98,0",217,BRC0910A,Nome não encontrado
Magnésio,mg,"9,87","4,94","10,9","8,88","19,7",BRC0910A,Nome não encontrado
Fósforo,mg,"92,0","46,0",101,"82,8",184,BRC0910A,Nome não encontrado
Potássio,mg,"64,4","32,2","70,8","58,0",128,BRC0910A,Nome não encontrado
Manganês,mg,"0,28","0,14","0,30","0,25","0,55",BRC0910A,Nome não encontrado
Zinco,mg,"0,63","0,32","0,69","0,57","1,26",BRC0910A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,09","0,07","0,16",BRC0910A,Nome não encontrado
Selênio,mcg,"3,18","1,59","3,50","2,87","6,37",BRC0910A,Nome não encontrado
Vitamina A (RE),mcg,"47,4","23,7","52,2","42,7","94,8",BRC0910A,Nome não encontrado
Vitamina A (RAE),mcg,"26,0","13,0","28,5","23,4","51,9",BRC0910A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,05","0,04","0,09",BRC0910A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,86","0,93","2,05","1,67","3,72",BRC0910A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,05","0,04","0,10",BRC0910A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,05","0,04","0,09",BRC0910A,Nome não encontrado
Niacina,mg,"1,01","0,50","1,11","0,91","2,02",BRC0910A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,04","0,03","0,06",BRC0910A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,04","0,09","0,07","0,16",BRC0910A,Nome não encontrado
Vitamina C,mg,"0,49","0,25","0,54","0,44","0,98",BRC0910A,Nome não encontrado
Equivalente de folato,mcg,"54,3","27,2","59,8","48,9",108,BRC0910A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0910A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0910A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0910A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0910A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0910A,Nome não encontrado
