componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,243,109,145,BRC0311E,Nome não encontrado
Energia,kcal,58,26,34,BRC0311E,Nome não encontrado
Umidade,g,"85,8","38,6","51,5",BRC0311E,Nome não encontrado
Carboidrato total,g,"3,31","1,49","1,98",BRC0311E,Nome não encontrado
Carboidrato disponível,g,"2,02","0,91","1,21",BRC0311E,Nome não encontrado
Proteína,g,"7,32","3,29","4,39",BRC0311E,Nome não encontrado
Lipídios,g,"2,00","0,90","1,20",BRC0311E,Nome não encontrado
Fibra alimentar,g,"1,28","0,58","0,77",BRC0311E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0311E,Nome não encontrado
Cinzas,g,"1,56","0,70","0,93",BRC0311E,Nome não encontrado
Colesterol,mg,"7,95","3,58","4,77",BRC0311E,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,16","0,21",BRC0311E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,19","0,26",BRC0311E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,95","0,43","0,57",BRC0311E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0311E,Nome não encontrado
Cálcio,mg,"22,3","10,0","13,4",BRC0311E,Nome não encontrado
Ferro,mg,"17,2","7,72","10,3",BRC0311E,Nome não encontrado
Sódio,mg,290,130,174,BRC0311E,Nome não encontrado
Magnésio,mg,"13,9","6,25","8,34",BRC0311E,Nome não encontrado
Fósforo,mg,"77,6","34,9","46,6",BRC0311E,Nome não encontrado
Potássio,mg,170,"76,7",102,BRC0311E,Nome não encontrado
Manganês,mg,"0,91","0,41","0,54",BRC0311E,Nome não encontrado
Zinco,mg,"1,37","0,62","0,82",BRC0311E,Nome não encontrado
Cobre,mg,"1,21","0,55","0,73",BRC0311E,Nome não encontrado
Selênio,mcg,"0,82","0,37","0,49",BRC0311E,Nome não encontrado
Vitamina A (RE),mcg,"92,3","41,5","55,4",BRC0311E,Nome não encontrado
Vitamina A (RAE),mcg,"61,5","27,7","36,9",BRC0311E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,01",BRC0311E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,55","0,25","0,33",BRC0311E,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,05",BRC0311E,Nome não encontrado
Riboflavina,mg,"0,11","0,05","0,07",BRC0311E,Nome não encontrado
Niacina,mg,"1,02","0,46","0,61",BRC0311E,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,03",BRC0311E,Nome não encontrado
Vitamina B12,mcg,"4,78","2,15","2,87",BRC0311E,Nome não encontrado
Vitamina C,mg,"17,3","7,77","10,4",BRC0311E,Nome não encontrado
Equivalente de folato,mcg,"31,4","14,1","18,8",BRC0311E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0311E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0311E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0311E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0311E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0311E,Nome não encontrado
