componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,475,213,284,BRC0333E,Nome não encontrado
Energia,kcal,113,50,67,BRC0333E,Nome não encontrado
Umidade,g,"76,9","34,6","46,1",BRC0333E,Nome não encontrado
Carboidrato total,g,"6,33","2,85","3,80",BRC0333E,Nome não encontrado
Carboidrato disponível,g,"5,92","2,66","3,55",BRC0333E,Nome não encontrado
Proteína,g,"9,90","4,45","5,94",BRC0333E,Nome não encontrado
Lipídios,g,"5,48","2,47","3,29",BRC0333E,Nome não encontrado
Fibra alimentar,g,"0,41","0,18","0,24",BRC0333E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0333E,Nome não encontrado
Cinzas,g,"1,44","0,65","0,86",BRC0333E,Nome não encontrado
Colesterol,mg,"15,4","6,93","9,24",BRC0333E,Nome não encontrado
Ácidos graxos saturados,g,"1,86","0,84","1,11",BRC0333E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,31","0,59","0,78",BRC0333E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,79","0,81","1,08",BRC0333E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0333E,Nome não encontrado
Cálcio,mg,"63,4","28,5","38,1",BRC0333E,Nome não encontrado
Ferro,mg,"21,4","9,61","12,8",BRC0333E,Nome não encontrado
Sódio,mg,149,"67,2","89,6",BRC0333E,Nome não encontrado
Magnésio,mg,"17,0","7,65","10,2",BRC0333E,Nome não encontrado
Fósforo,mg,119,"53,6","71,4",BRC0333E,Nome não encontrado
Potássio,mg,185,"83,5",111,BRC0333E,Nome não encontrado
Manganês,mg,1135,510,681,BRC0333E,Nome não encontrado
Zinco,mg,"1,76","0,79","1,05",BRC0333E,Nome não encontrado
Cobre,mg,"1,48","0,66","0,89",BRC0333E,Nome não encontrado
Selênio,mcg,"2,35","1,06","1,41",BRC0333E,Nome não encontrado
Vitamina A (RE),mcg,"40,3","18,1","24,2",BRC0333E,Nome não encontrado
Vitamina A (RAE),mcg,"53,3","24,0","32,0",BRC0333E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0333E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,29","0,39",BRC0333E,Nome não encontrado
Tiamina,mg,"0,11","0,05","0,07",BRC0333E,Nome não encontrado
Riboflavina,mg,"0,21","0,10","0,13",BRC0333E,Nome não encontrado
Niacina,mg,"1,49","0,67","0,89",BRC0333E,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,03",BRC0333E,Nome não encontrado
Vitamina B12,mcg,"6,13","2,76","3,68",BRC0333E,Nome não encontrado
Vitamina C,mg,"7,10","3,20","4,26",BRC0333E,Nome não encontrado
Equivalente de folato,mcg,"31,1","14,0","18,7",BRC0333E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0333E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0333E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0333E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0333E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0333E,Nome não encontrado
