componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),Porção Média (60 g),codigo_alimento,nome_alimento
Energia,kJ,240,72,144,BRC0021J,Nome não encontrado
Energia,kcal,57,16,33,BRC0021J,Nome não encontrado
Umidade,g,"84,8","25,4","50,9",BRC0021J,Nome não encontrado
Carboidrato total,g,"0,56","0,17","0,34",BRC0021J,Nome não encontrado
Carboidrato disponível,g,"0,56","0,17","0,34",BRC0021J,Nome não encontrado
Proteína,g,"13,4","4,02","8,03",BRC0021J,Nome não encontrado
Lipídios,g,"0,09","0,03","0,05",BRC0021J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Cinzas,g,"1,13","0,34","0,68",BRC0021J,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Cálcio,mg,"6,32","1,89","3,79",BRC0021J,Nome não encontrado
Ferro,mg,"0,08","0,02","0,05",BRC0021J,Nome não encontrado
Sódio,mg,367,110,220,BRC0021J,Nome não encontrado
Magnésio,mg,"11,0","3,29","6,58",BRC0021J,Nome não encontrado
Fósforo,mg,"15,4","4,61","9,21",BRC0021J,Nome não encontrado
Potássio,mg,145,"43,6","87,1",BRC0021J,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0021J,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Cobre,mg,"0,03","0,01","0,02",BRC0021J,Nome não encontrado
Selênio,mcg,"5,18","1,55","3,11",BRC0021J,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0021J,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0021J,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0021J,Nome não encontrado
Riboflavina,mg,"0,08","0,02","0,05",BRC0021J,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0021J,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0021J,Nome não encontrado
Vitamina B12,mcg,"0,07","0,02","0,04",BRC0021J,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Equivalente de folato,mcg,"3,31","0,99","1,98",BRC0021J,Nome não encontrado
Sal de adição,g,"0,47","0,14","0,28",BRC0021J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0021J,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0021J,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0021J,Nome não encontrado
Proteína animal,g,-,-,-,BRC0021J,Nome não encontrado
