componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,473,472,BRC0089N,Nome não encontrado
Energia,kcal,112,112,BRC0089N,Nome não encontrado
Umidade,g,"73,0","73,0",BRC0089N,Nome não encontrado
Carboidrato total,g,"17,4","17,4",BRC0089N,Nome não encontrado
Carboidrato disponível,g,"15,6","15,6",BRC0089N,Nome não encontrado
Proteína,g,"5,17","5,17",BRC0089N,Nome não encontrado
Lipídios,g,"2,84","2,84",BRC0089N,Nome não encontrado
Fibra alimentar,g,"1,78","1,78",BRC0089N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0089N,Nome não encontrado
Cinzas,g,"1,57","1,57",BRC0089N,Nome não encontrado
Colesterol,mg,"15,8","15,8",BRC0089N,Nome não encontrado
Ácidos graxos saturados,g,"1,11","1,11",BRC0089N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,78","0,78",BRC0089N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,72",BRC0089N,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,05",BRC0089N,Nome não encontrado
Cálcio,mg,"52,2","52,2",BRC0089N,Nome não encontrado
Ferro,mg,"1,07","1,07",BRC0089N,Nome não encontrado
Sódio,mg,402,402,BRC0089N,Nome não encontrado
Magnésio,mg,"9,08","9,08",BRC0089N,Nome não encontrado
Fósforo,mg,"56,1","56,1",BRC0089N,Nome não encontrado
Potássio,mg,144,144,BRC0089N,Nome não encontrado
Manganês,mg,"0,12","0,12",BRC0089N,Nome não encontrado
Zinco,mg,"0,34","0,34",BRC0089N,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0089N,Nome não encontrado
Selênio,mcg,"1,63","1,63",BRC0089N,Nome não encontrado
Vitamina A (RE),mcg,132,132,BRC0089N,Nome não encontrado
Vitamina A (RAE),mcg,"79,0","79,0",BRC0089N,Nome não encontrado
Vitamina D,mcg,"0,06","0,06",BRC0089N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,58","0,58",BRC0089N,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0089N,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0089N,Nome não encontrado
Niacina,mg,"1,96","1,96",BRC0089N,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0089N,Nome não encontrado
Vitamina B12,mcg,"0,07","0,07",BRC0089N,Nome não encontrado
Vitamina C,mg,"8,68","8,68",BRC0089N,Nome não encontrado
Equivalente de folato,mcg,"53,9","53,9",BRC0089N,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0089N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0089N,Nome não encontrado
Gordura de adição,g,-,-,BRC0089N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0089N,Nome não encontrado
Proteína animal,g,-,-,BRC0089N,Nome não encontrado
