componente,unidade,Valor por 100g,Xícara chá (200 ml),codigo_alimento,nome_alimento
Energia,kJ,53,105,BRC0162H,Nome não encontrado
Energia,kcal,13,25,BRC0162H,Nome não encontrado
Umidade,g,"96,5",193,BRC0162H,Nome não encontrado
Carboidrato total,g,"1,50","2,99",BRC0162H,Nome não encontrado
Carboidrato disponível,g,"1,40","2,79",BRC0162H,Nome não encontrado
Proteína,g,"0,54","1,07",BRC0162H,Nome não encontrado
Lipídios,g,"0,52","1,03",BRC0162H,Nome não encontrado
Fibra alimentar,g,"0,10","0,20",BRC0162H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0162H,Nome não encontrado
Cinzas,g,"0,58","1,15",BRC0162H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0162H,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,09",BRC0162H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,64",BRC0162H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,24",BRC0162H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0162H,Nome não encontrado
Cálcio,mg,"93,6",187,BRC0162H,Nome não encontrado
Ferro,mg,"0,14","0,28",BRC0162H,Nome não encontrado
Sódio,mg,"36,5","73,0",BRC0162H,Nome não encontrado
Magnésio,mg,"7,83","15,7",BRC0162H,Nome não encontrado
Fósforo,mg,"9,25","18,5",BRC0162H,Nome não encontrado
Potássio,mg,111,222,BRC0162H,Nome não encontrado
Manganês,mg,"0,04","0,08",BRC0162H,Nome não encontrado
Zinco,mg,"0,03","0,06",BRC0162H,Nome não encontrado
Cobre,mg,"0,01","0,03",BRC0162H,Nome não encontrado
Selênio,mcg,"0,05","0,10",BRC0162H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0162H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0162H,Nome não encontrado
Vitamina D,mcg,"0,50","1,00",BRC0162H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,18","6,36",BRC0162H,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0162H,Nome não encontrado
Riboflavina,mg,"0,04","0,09",BRC0162H,Nome não encontrado
Niacina,mg,"0,13","0,26",BRC0162H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0162H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0162H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0162H,Nome não encontrado
Equivalente de folato,mcg,"1,50","3,00",BRC0162H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0162H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0162H,Nome não encontrado
Gordura de adição,g,-,-,BRC0162H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0162H,Nome não encontrado
Proteína animal,g,-,-,BRC0162H,Nome não encontrado
