componente,unidade,Valor por 100g,Colher servir cheia (30 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,237,71,59,BRC0259B,Nome não encontrado
Energia,kcal,57,17,14,BRC0259B,Nome não encontrado
Umidade,g,"88,2","26,5","22,0",BRC0259B,Nome não encontrado
Carboidrato total,g,"6,53","1,96","1,63",BRC0259B,Nome não encontrado
Carboidrato disponível,g,"5,45","1,64","1,36",BRC0259B,Nome não encontrado
Proteína,g,"2,33","0,70","0,58",BRC0259B,Nome não encontrado
Lipídios,g,"2,61","0,78","0,65",BRC0259B,Nome não encontrado
Fibra alimentar,g,"1,08","0,32","0,27",BRC0259B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0259B,Nome não encontrado
Cinzas,g,"0,38","0,11","0,09",BRC0259B,Nome não encontrado
Colesterol,mg,"3,71","1,11","0,93",BRC0259B,Nome não encontrado
Ácidos graxos saturados,g,"1,03","0,31","0,26",BRC0259B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","0,20","0,16",BRC0259B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,20","0,17",BRC0259B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0259B,Nome não encontrado
Cálcio,mg,"62,3","18,7","15,6",BRC0259B,Nome não encontrado
Ferro,mg,"0,20","0,06","0,05",BRC0259B,Nome não encontrado
Sódio,mg,"21,8","6,53","5,45",BRC0259B,Nome não encontrado
Magnésio,mg,"8,84","2,65","2,21",BRC0259B,Nome não encontrado
Fósforo,mg,"38,9","11,7","9,72",BRC0259B,Nome não encontrado
Potássio,mg,124,"37,5","31,2",BRC0259B,Nome não encontrado
Manganês,mg,"0,13","0,04","0,03",BRC0259B,Nome não encontrado
Zinco,mg,"0,24","0,07","0,06",BRC0259B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0259B,Nome não encontrado
Selênio,mcg,"1,56","0,47","0,39",BRC0259B,Nome não encontrado
Vitamina A (RE),mcg,108,"32,7","27,2",BRC0259B,Nome não encontrado
Vitamina A (RAE),mcg,"64,1","19,2","16,0",BRC0259B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0259B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,92","0,27","0,23",BRC0259B,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,00",BRC0259B,Nome não encontrado
Riboflavina,mg,"0,09","0,03","0,02",BRC0259B,Nome não encontrado
Niacina,mg,"0,45","0,13","0,11",BRC0259B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0259B,Nome não encontrado
Vitamina B12,mcg,"0,11","0,03","0,03",BRC0259B,Nome não encontrado
Vitamina C,mg,"7,00","2,10","1,75",BRC0259B,Nome não encontrado
Equivalente de folato,mcg,"25,0","7,49","6,24",BRC0259B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0259B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0259B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0259B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0259B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0259B,Nome não encontrado
