componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (31 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,272,95,84,380,217,BRC0087T,Nome não encontrado
Energia,kcal,65,22,20,91,52,BRC0087T,Nome não encontrado
Umidade,g,"80,6","28,2","25,0",112,"64,5",BRC0087T,Nome não encontrado
Carboidrato total,g,"12,3","4,29","3,80","17,2","9,80",BRC0087T,Nome não encontrado
Carboidrato disponível,g,"7,74","2,71","2,40","10,8","6,19",BRC0087T,Nome não encontrado
Proteína,g,"5,51","1,93","1,71","7,71","4,41",BRC0087T,Nome não encontrado
Lipídios,g,"0,30","0,11","0,09","0,42","0,24",BRC0087T,Nome não encontrado
Fibra alimentar,g,"4,51","1,58","1,40","6,31","3,61",BRC0087T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0087T,Nome não encontrado
Cinzas,g,"1,34","0,47","0,42","1,88","1,07",BRC0087T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0087T,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,01","0,01","0,06","0,03",BRC0087T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06","0,02","0,02","0,08","0,05",BRC0087T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,04","0,04","0,17","0,10",BRC0087T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0087T,Nome não encontrado
Cálcio,mg,"21,2","7,40","6,56","29,6","16,9",BRC0087T,Nome não encontrado
Ferro,mg,"1,13","0,40","0,35","1,58","0,91",BRC0087T,Nome não encontrado
Sódio,mg,192,"67,4","59,7",269,154,BRC0087T,Nome não encontrado
Magnésio,mg,"29,5","10,3","9,15","41,3","23,6",BRC0087T,Nome não encontrado
Fósforo,mg,"93,6","32,8","29,0",131,"74,9",BRC0087T,Nome não encontrado
Potássio,mg,233,"81,6","72,2",326,186,BRC0087T,Nome não encontrado
Manganês,mg,"0,32","0,11","0,10","0,45","0,26",BRC0087T,Nome não encontrado
Zinco,mg,"0,77","0,27","0,24","1,08","0,62",BRC0087T,Nome não encontrado
Cobre,mg,"0,18","0,06","0,06","0,25","0,14",BRC0087T,Nome não encontrado
Selênio,mcg,,,,,,BRC0087T,Nome não encontrado
Vitamina A (RE),mcg,"1,03","0,36","0,32","1,45","0,83",BRC0087T,Nome não encontrado
Vitamina A (RAE),mcg,"0,52","0,18","0,16","0,72","0,41",BRC0087T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0087T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00","0,00","0,01","0,01",BRC0087T,Nome não encontrado
Tiamina,mg,"0,09","0,03","0,03","0,13","0,07",BRC0087T,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,02","0,07","0,04",BRC0087T,Nome não encontrado
Niacina,mg,"0,39","0,14","0,12","0,55","0,31",BRC0087T,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,02","0,07","0,04",BRC0087T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0087T,Nome não encontrado
Vitamina C,mg,"0,18","0,06","0,06","0,25","0,14",BRC0087T,Nome não encontrado
Equivalente de folato,mcg,"30,3","10,6","9,39","42,4","24,2",BRC0087T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,15","0,66","0,38",BRC0087T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0087T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0087T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0087T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0087T,Nome não encontrado
