componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),Prato raso (280 g),codigo_alimento,nome_alimento
Energia,kJ,478,239,525,430,956,1338,BRC0235A,Nome não encontrado
Energia,kcal,113,56,124,101,226,316,BRC0235A,Nome não encontrado
Umidade,g,"70,9","35,4","78,0","63,8",141,198,BRC0235A,Nome não encontrado
Carboidrato total,g,"22,4","11,2","24,6","20,1","44,7","62,6",BRC0235A,Nome não encontrado
Carboidrato disponível,g,"19,1","9,57","21,1","17,2","38,3","53,6",BRC0235A,Nome não encontrado
Proteína,g,"4,27","2,14","4,70","3,85","8,55","12,0",BRC0235A,Nome não encontrado
Lipídios,g,"1,50","0,75","1,65","1,35","3,00","4,20",BRC0235A,Nome não encontrado
Fibra alimentar,g,"3,31","1,66","3,64","2,98","6,62","9,27",BRC0235A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Cinzas,g,"1,02","0,51","1,12","0,92","2,04","2,86",BRC0235A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Ácidos graxos saturados,g,"0,29","0,15","0,32","0,26","0,58","0,81",BRC0235A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,15","0,32","0,27","0,59","0,83",BRC0235A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,40","0,87","0,71","1,59","2,22",BRC0235A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Cálcio,mg,"9,18","4,59","10,1","8,26","18,4","25,7",BRC0235A,Nome não encontrado
Ferro,mg,"0,45","0,23","0,50","0,41","0,90","1,26",BRC0235A,Nome não encontrado
Sódio,mg,269,134,296,242,539,755,BRC0235A,Nome não encontrado
Magnésio,mg,"12,9","6,44","14,2","11,6","25,8","36,1",BRC0235A,Nome não encontrado
Fósforo,mg,"46,5","23,2","51,1","41,8","92,9",130,BRC0235A,Nome não encontrado
Potássio,mg,"97,6","48,8",107,"87,8",195,273,BRC0235A,Nome não encontrado
Manganês,mg,"0,24","0,12","0,26","0,21","0,47","0,66",BRC0235A,Nome não encontrado
Zinco,mg,"0,37","0,19","0,41","0,33","0,74","1,04",BRC0235A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,09","0,07","0,16","0,23",BRC0235A,Nome não encontrado
Selênio,mcg,"2,17","1,08","2,38","1,95","4,33","6,06",BRC0235A,Nome não encontrado
Vitamina A (RE),mcg,"27,2","13,6","29,9","24,5","54,4","76,2",BRC0235A,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","6,80","15,0","12,2","27,2","38,1",BRC0235A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,15","0,33","0,27","0,61","0,85",BRC0235A,Nome não encontrado
Tiamina,mg,"0,10","0,05","0,11","0,09","0,20","0,27",BRC0235A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,05","0,04","0,10","0,13",BRC0235A,Nome não encontrado
Niacina,mg,"1,57","0,79","1,73","1,42","3,15","4,41",BRC0235A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,08","0,07","0,15","0,21",BRC0235A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Vitamina C,mg,"4,05","2,03","4,46","3,65","8,11","11,3",BRC0235A,Nome não encontrado
Equivalente de folato,mcg,"16,8","8,38","18,4","15,1","33,5","46,9",BRC0235A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94","1,32",BRC0235A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0235A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0235A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0235A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0235A,Nome não encontrado
