componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,504,252,554,453,BRC0604A,Nome não encontrado
Energia,kcal,119,59,131,107,BRC0604A,Nome não encontrado
Umidade,g,"71,5","35,8","78,7","64,4",BRC0604A,Nome não encontrado
Carboidrato total,g,"20,0","9,98","21,9","18,0",BRC0604A,Nome não encontrado
Carboidrato disponível,g,"18,8","9,42","20,7","16,9",BRC0604A,Nome não encontrado
Proteína,g,"6,15","3,07","6,76","5,53",BRC0604A,Nome não encontrado
Lipídios,g,"1,91","0,96","2,10","1,72",BRC0604A,Nome não encontrado
Fibra alimentar,g,"1,12","0,56","1,23","1,01",BRC0604A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0604A,Nome não encontrado
Cinzas,g,"0,44","0,22","0,49","0,40",BRC0604A,Nome não encontrado
Colesterol,mg,"11,4","5,68","12,5","10,2",BRC0604A,Nome não encontrado
Ácidos graxos saturados,g,"0,42","0,21","0,47","0,38",BRC0604A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,46","0,23","0,50","0,41",BRC0604A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,45","1,00","0,82",BRC0604A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,03","0,03",BRC0604A,Nome não encontrado
Cálcio,mg,"10,8","5,42","11,9","9,76",BRC0604A,Nome não encontrado
Ferro,mg,"0,44","0,22","0,49","0,40",BRC0604A,Nome não encontrado
Sódio,mg,"25,6","12,8","28,2","23,1",BRC0604A,Nome não encontrado
Magnésio,mg,"5,41","2,70","5,95","4,87",BRC0604A,Nome não encontrado
Fósforo,mg,"67,5","33,7","74,2","60,7",BRC0604A,Nome não encontrado
Potássio,mg,124,"62,2",136,111,BRC0604A,Nome não encontrado
Manganês,mg,"0,18","0,09","0,19","0,16",BRC0604A,Nome não encontrado
Zinco,mg,"0,51","0,26","0,56","0,46",BRC0604A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,17","0,14",BRC0604A,Nome não encontrado
Selênio,mcg,"5,56","2,78","6,11","5,00",BRC0604A,Nome não encontrado
Vitamina A (RE),mcg,"11,9","5,94","13,1","10,7",BRC0604A,Nome não encontrado
Vitamina A (RAE),mcg,"5,94","2,97","6,54","5,35",BRC0604A,Nome não encontrado
Vitamina D,mcg,"0,07","0,04","0,08","0,06",BRC0604A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,12","0,27","0,22",BRC0604A,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,06","0,05",BRC0604A,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,05","0,04",BRC0604A,Nome não encontrado
Niacina,mg,"3,91","1,96","4,31","3,52",BRC0604A,Nome não encontrado
Vitamina B6,mg,"0,31","0,15","0,34","0,28",BRC0604A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01","0,02","0,02",BRC0604A,Nome não encontrado
Vitamina C,mg,"1,38","0,69","1,52","1,24",BRC0604A,Nome não encontrado
Equivalente de folato,mcg,"50,6","25,3","55,6","45,5",BRC0604A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0604A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0604A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0604A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0604A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0604A,Nome não encontrado
