componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,198,39,29,BRC0111T,Nome não encontrado
Energia,kcal,47,9,7,BRC0111T,Nome não encontrado
Umidade,g,"87,1","17,4","13,1",BRC0111T,Nome não encontrado
Carboidrato total,g,"7,83","1,57","1,17",BRC0111T,Nome não encontrado
Carboidrato disponível,g,"4,39","0,88","0,66",BRC0111T,Nome não encontrado
Proteína,g,"2,58","0,52","0,39",BRC0111T,Nome não encontrado
Lipídios,g,"1,40","0,28","0,21",BRC0111T,Nome não encontrado
Fibra alimentar,g,"3,43","0,69","0,52",BRC0111T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0111T,Nome não encontrado
Cinzas,g,"1,13","0,23","0,17",BRC0111T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0111T,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,04","0,03",BRC0111T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,06","0,05",BRC0111T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,16","0,12",BRC0111T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0111T,Nome não encontrado
Cálcio,mg,"44,3","8,85","6,64",BRC0111T,Nome não encontrado
Ferro,mg,"0,60","0,12","0,09",BRC0111T,Nome não encontrado
Sódio,mg,127,"25,6","19,2",BRC0111T,Nome não encontrado
Magnésio,mg,"30,0","6,00","4,50",BRC0111T,Nome não encontrado
Fósforo,mg,"41,1","8,23","6,17",BRC0111T,Nome não encontrado
Potássio,mg,293,"58,8","44,1",BRC0111T,Nome não encontrado
Manganês,mg,"0,68","0,14","0,10",BRC0111T,Nome não encontrado
Zinco,mg,"0,50","0,10","0,07",BRC0111T,Nome não encontrado
Cobre,mg,"0,09","0,02","0,01",BRC0111T,Nome não encontrado
Selênio,mcg,"0,40","0,08","0,06",BRC0111T,Nome não encontrado
Vitamina A (RE),mcg,"35,4","7,08","5,31",BRC0111T,Nome não encontrado
Vitamina A (RAE),mcg,"17,7","3,54","2,66",BRC0111T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0111T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,11","0,08",BRC0111T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0111T,Nome não encontrado
Riboflavina,mg,"0,10","0,02","0,02",BRC0111T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0111T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0111T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0111T,Nome não encontrado
Vitamina C,mg,"1,68","0,34","0,25",BRC0111T,Nome não encontrado
Equivalente de folato,mcg,"28,4","5,68","4,26",BRC0111T,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,05",BRC0111T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0111T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0111T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0111T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0111T,Nome não encontrado
