componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,422,71,46,101,59,BRC0787A,Nome não encontrado
Energia,kcal,100,17,11,24,14,BRC0787A,Nome não encontrado
Umidade,g,"72,9","12,4","8,01","17,5","10,2",BRC0787A,Nome não encontrado
Carboidrato total,g,"20,4","3,47","2,24","4,90","2,86",BRC0787A,Nome não encontrado
Carboidrato disponível,g,"15,7","2,66","1,72","3,76","2,19",BRC0787A,Nome não encontrado
Proteína,g,"4,28","0,73","0,47","1,03","0,60",BRC0787A,Nome não encontrado
Lipídios,g,"1,22","0,21","0,13","0,29","0,17",BRC0787A,Nome não encontrado
Fibra alimentar,g,"4,75","0,81","0,52","1,14","0,67",BRC0787A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
Cinzas,g,"1,24","0,21","0,14","0,30","0,17",BRC0787A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,05","0,03","0,07","0,04",BRC0787A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,07","0,04","0,09","0,06",BRC0787A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,08","0,05","0,12","0,07",BRC0787A,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0787A,Nome não encontrado
Cálcio,mg,"11,7","1,99","1,29","2,81","1,64",BRC0787A,Nome não encontrado
Ferro,mg,"1,12","0,19","0,12","0,27","0,16",BRC0787A,Nome não encontrado
Sódio,mg,342,"58,2","37,7","82,2","48,0",BRC0787A,Nome não encontrado
Magnésio,mg,"21,1","3,58","2,32","5,05","2,95",BRC0787A,Nome não encontrado
Fósforo,mg,"71,8","12,2","7,90","17,2","10,1",BRC0787A,Nome não encontrado
Potássio,mg,166,"28,3","18,3","40,0","23,3",BRC0787A,Nome não encontrado
Manganês,mg,"0,20","0,03","0,02","0,05","0,03",BRC0787A,Nome não encontrado
Zinco,mg,"0,84","0,14","0,09","0,20","0,12",BRC0787A,Nome não encontrado
Cobre,mg,"0,11","0,02","0,01","0,03","0,02",BRC0787A,Nome não encontrado
Selênio,mcg,"0,90","0,15","0,10","0,22","0,13",BRC0787A,Nome não encontrado
Vitamina A (RE),mcg,"30,7","5,22","3,38","7,37","4,30",BRC0787A,Nome não encontrado
Vitamina A (RAE),mcg,"15,4","2,61","1,69","3,68","2,15",BRC0787A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,03","0,02","0,04","0,02",BRC0787A,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,00","0,01","0,01",BRC0787A,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01","0,01","0,01",BRC0787A,Nome não encontrado
Niacina,mg,"2,17","0,37","0,24","0,52","0,30",BRC0787A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0787A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
Vitamina C,mg,"4,17","0,71","0,46","1,00","0,58",BRC0787A,Nome não encontrado
Equivalente de folato,mcg,"50,1","8,51","5,51","12,0","7,01",BRC0787A,Nome não encontrado
Sal de adição,g,,,,,,BRC0787A,Nome não encontrado
Açúcar de adição,g,,,,,,BRC0787A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
Proteína vegetal,g,"4,28","0,73","0,47","1,03","0,60",BRC0787A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0787A,Nome não encontrado
