componente,unidade,Valor por 100g,Porção Média (60 g),codigo_alimento,nome_alimento
Energia,kJ,132,79,BRC0266C,Nome não encontrado
Energia,kcal,32,19,BRC0266C,Nome não encontrado
Umidade,g,"88,0","52,8",BRC0266C,Nome não encontrado
Carboidrato total,g,"8,18","4,91",BRC0266C,Nome não encontrado
Carboidrato disponível,g,"2,25","1,35",BRC0266C,Nome não encontrado
Proteína,g,"1,23","0,74",BRC0266C,Nome não encontrado
Lipídios,g,"0,70","0,42",BRC0266C,Nome não encontrado
Fibra alimentar,g,"5,92","3,55",BRC0266C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0266C,Nome não encontrado
Cinzas,g,"1,94","1,17",BRC0266C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0266C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0266C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0266C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0266C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0266C,Nome não encontrado
Cálcio,mg,255,153,BRC0266C,Nome não encontrado
Ferro,mg,"0,32","0,19",BRC0266C,Nome não encontrado
Sódio,mg,131,"79,2",BRC0266C,Nome não encontrado
Magnésio,mg,"12,1","7,25",BRC0266C,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0266C,Nome não encontrado
Potássio,mg,583,350,BRC0266C,Nome não encontrado
Manganês,mg,"0,72","0,43",BRC0266C,Nome não encontrado
Zinco,mg,"0,29","0,18",BRC0266C,Nome não encontrado
Cobre,mg,"1,57","0,94",BRC0266C,Nome não encontrado
Selênio,mcg,,,BRC0266C,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0266C,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0266C,Nome não encontrado
Vitamina D,mcg,,,BRC0266C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0266C,Nome não encontrado
Tiamina,mg,,,BRC0266C,Nome não encontrado
Riboflavina,mg,,,BRC0266C,Nome não encontrado
Niacina,mg,,,BRC0266C,Nome não encontrado
Vitamina B6,mg,,,BRC0266C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0266C,Nome não encontrado
Vitamina C,mg,,,BRC0266C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0266C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0266C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0266C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0266C,Nome não encontrado
Proteína vegetal,g,"1,23","0,74",BRC0266C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0266C,Nome não encontrado
