componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,755,226,113,BRC0040N,Nome não encontrado
Energia,kcal,182,54,27,BRC0040N,Nome não encontrado
Umidade,g,"68,0","20,4","10,2",BRC0040N,Nome não encontrado
Carboidrato total,g,"1,60","0,48","0,24",BRC0040N,Nome não encontrado
Carboidrato disponível,g,"1,60","0,48","0,24",BRC0040N,Nome não encontrado
Proteína,g,"13,0","3,90","1,95",BRC0040N,Nome não encontrado
Lipídios,g,"13,7","4,11","2,06",BRC0040N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0040N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0040N,Nome não encontrado
Cinzas,g,"3,70","1,11","0,56",BRC0040N,Nome não encontrado
Colesterol,mg,"43,1","12,9","6,46",BRC0040N,Nome não encontrado
Ácidos graxos saturados,g,"8,01","2,40","1,20",BRC0040N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,74","1,12","0,56",BRC0040N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,05","0,03",BRC0040N,Nome não encontrado
Ácidos graxos trans,g,"0,39","0,12","0,06",BRC0040N,Nome não encontrado
Cálcio,mg,221,"66,4","33,2",BRC0040N,Nome não encontrado
Ferro,mg,"0,10","0,03","0,01",BRC0040N,Nome não encontrado
Sódio,mg,475,142,"71,4",BRC0040N,Nome não encontrado
Magnésio,mg,"9,91","2,97","1,49",BRC0040N,Nome não encontrado
Fósforo,mg,381,114,"57,3",BRC0040N,Nome não encontrado
Potássio,mg,"79,3","23,8","11,9",BRC0040N,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00",BRC0040N,Nome não encontrado
Zinco,mg,"1,09","0,33","0,16",BRC0040N,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01",BRC0040N,Nome não encontrado
Selênio,mcg,,,,BRC0040N,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0040N,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0040N,Nome não encontrado
Vitamina D,mcg,"0,24","0,07","0,04",BRC0040N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,traços,traços,traços,BRC0040N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0040N,Nome não encontrado
Riboflavina,mg,"0,16","0,05","0,02",BRC0040N,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0040N,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0040N,Nome não encontrado
Vitamina B12,mcg,"0,31","0,09","0,05",BRC0040N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0040N,Nome não encontrado
Equivalente de folato,mcg,"9,25","2,78","1,39",BRC0040N,Nome não encontrado
Sal de adição,g,,,,BRC0040N,Nome não encontrado
Açúcar de adição,g,,,,BRC0040N,Nome não encontrado
Gordura de adição,g,,,,BRC0040N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0040N,Nome não encontrado
Proteína animal,g,"13,0","3,90","1,95",BRC0040N,Nome não encontrado
