componente,unidade,Valor por 100g,Colher sopa cheia (42 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,610,256,182,BRC0303B,Nome não encontrado
Energia,kcal,144,60,43,BRC0303B,Nome não encontrado
Umidade,g,"59,2","24,9","17,8",BRC0303B,Nome não encontrado
Carboidrato total,g,"35,1","14,8","10,5",BRC0303B,Nome não encontrado
Carboidrato disponível,g,"31,2","13,1","9,37",BRC0303B,Nome não encontrado
Proteína,g,"2,18","0,92","0,65",BRC0303B,Nome não encontrado
Lipídios,g,"0,28","0,12","0,08",BRC0303B,Nome não encontrado
Fibra alimentar,g,"3,88","1,63","1,16",BRC0303B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Cinzas,g,"3,22","1,35","0,96",BRC0303B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,03",BRC0303B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0303B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,03","0,02",BRC0303B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Cálcio,mg,"37,2","15,6","11,2",BRC0303B,Nome não encontrado
Ferro,mg,"0,51","0,21","0,15",BRC0303B,Nome não encontrado
Sódio,mg,199,"83,7","59,8",BRC0303B,Nome não encontrado
Magnésio,mg,"31,9","13,4","9,57",BRC0303B,Nome não encontrado
Fósforo,mg,"48,1","20,2","14,4",BRC0303B,Nome não encontrado
Potássio,mg,449,188,134,BRC0303B,Nome não encontrado
Manganês,mg,"0,23","0,10","0,07",BRC0303B,Nome não encontrado
Zinco,mg,"0,27","0,11","0,08",BRC0303B,Nome não encontrado
Cobre,mg,"0,15","0,06","0,04",BRC0303B,Nome não encontrado
Selênio,mcg,"1,10","0,46","0,33",BRC0303B,Nome não encontrado
Vitamina A (RE),mcg,788,331,236,BRC0303B,Nome não encontrado
Vitamina A (RAE),mcg,394,165,118,BRC0303B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,46","0,61","0,44",BRC0303B,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,02",BRC0303B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0303B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0303B,Nome não encontrado
Vitamina B6,mg,"0,12","0,05","0,04",BRC0303B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Vitamina C,mg,"17,4","7,31","5,22",BRC0303B,Nome não encontrado
Equivalente de folato,mcg,"14,6","6,14","4,39",BRC0303B,Nome não encontrado
Sal de adição,g,"0,47","0,20","0,14",BRC0303B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0303B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0303B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0303B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0303B,Nome não encontrado
