componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,382,916,630,381,BRC0036H,Nome não encontrado
Energia,kcal,92,220,151,91,BRC0036H,Nome não encontrado
Umidade,g,"85,2",204,140,"85,2",BRC0036H,Nome não encontrado
Carboidrato total,g,"3,12","7,50","5,15","3,12",BRC0036H,Nome não encontrado
Carboidrato disponível,g,"3,12","7,50","5,15","3,12",BRC0036H,Nome não encontrado
Proteína,g,"0,39","0,94","0,65","0,39",BRC0036H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Álcool,g,"11,1","26,7","18,3","11,1",BRC0036H,Nome não encontrado
Cinzas,g,"0,20","0,47","0,33","0,20",BRC0036H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Cálcio,mg,"8,01","19,2","13,2","8,01",BRC0036H,Nome não encontrado
Ferro,mg,"0,54","1,28","0,88","0,54",BRC0036H,Nome não encontrado
Sódio,mg,"3,18","7,62","5,24","3,18",BRC0036H,Nome não encontrado
Magnésio,mg,"6,65","16,0","11,0","6,65",BRC0036H,Nome não encontrado
Fósforo,mg,,,,,BRC0036H,Nome não encontrado
Potássio,mg,"85,8",205,141,"85,8",BRC0036H,Nome não encontrado
Manganês,mg,"0,23","0,54","0,37","0,23",BRC0036H,Nome não encontrado
Zinco,mg,"0,09","0,22","0,15","0,09",BRC0036H,Nome não encontrado
Cobre,mg,"0,05","0,12","0,08","0,05",BRC0036H,Nome não encontrado
Selênio,mcg,,,,,BRC0036H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Tiamina,mg,"0,02","0,05","0,04","0,02",BRC0036H,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,03","0,02",BRC0036H,Nome não encontrado
Niacina,mg,"0,10","0,24","0,16","0,10",BRC0036H,Nome não encontrado
Vitamina B6,mg,"0,04","0,10","0,07","0,04",BRC0036H,Nome não encontrado
Vitamina B12,mcg,"0,01","0,03","0,02","0,01",BRC0036H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Equivalente de folato,mcg,"1,09","2,62","1,80","1,09",BRC0036H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0036H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
Proteína vegetal,g,"0,39","0,94","0,65","0,39",BRC0036H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0036H,Nome não encontrado
