componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,566,141,BRC0057K,Nome não encontrado
Energia,kcal,135,33,BRC0057K,Nome não encontrado
Umidade,g,"69,3","17,3",BRC0057K,Nome não encontrado
Carboidrato total,g,"22,9","5,72",BRC0057K,Nome não encontrado
Carboidrato disponível,g,"21,1","5,27",BRC0057K,Nome não encontrado
Proteína,g,"2,91","0,73",BRC0057K,Nome não encontrado
Lipídios,g,"3,90","0,98",BRC0057K,Nome não encontrado
Fibra alimentar,g,"1,82","0,46",BRC0057K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0057K,Nome não encontrado
Cinzas,g,"1,04","0,26",BRC0057K,Nome não encontrado
Colesterol,mg,"15,6","3,90",BRC0057K,Nome não encontrado
Ácidos graxos saturados,g,"2,34","0,59",BRC0057K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,07","0,27",BRC0057K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,04",BRC0057K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0057K,Nome não encontrado
Cálcio,mg,134,"33,6",BRC0057K,Nome não encontrado
Ferro,mg,"0,07","0,02",BRC0057K,Nome não encontrado
Sódio,mg,135,"33,9",BRC0057K,Nome não encontrado
Magnésio,mg,"14,5","3,63",BRC0057K,Nome não encontrado
Fósforo,mg,101,"25,4",BRC0057K,Nome não encontrado
Potássio,mg,193,"48,4",BRC0057K,Nome não encontrado
Manganês,mg,,,BRC0057K,Nome não encontrado
Zinco,mg,"0,42","0,11",BRC0057K,Nome não encontrado
Cobre,mg,,,BRC0057K,Nome não encontrado
Selênio,mcg,,,BRC0057K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0057K,Nome não encontrado
Vitamina A (RAE),mcg,"37,7","9,43",BRC0057K,Nome não encontrado
Vitamina D,mcg,"1,17","0,29",BRC0057K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0057K,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0057K,Nome não encontrado
Riboflavina,mg,"0,19","0,05",BRC0057K,Nome não encontrado
Niacina,mg,"0,09","0,02",BRC0057K,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0057K,Nome não encontrado
Vitamina B12,mcg,"0,32","0,08",BRC0057K,Nome não encontrado
Vitamina C,mg,"0,85","0,21",BRC0057K,Nome não encontrado
Equivalente de folato,mcg,"4,84","1,21",BRC0057K,Nome não encontrado
Sal de adição,g,,,BRC0057K,Nome não encontrado
Açúcar de adição,g,,,BRC0057K,Nome não encontrado
Gordura de adição,g,,,BRC0057K,Nome não encontrado
Proteína vegetal,g,,,BRC0057K,Nome não encontrado
Proteína animal,g,,,BRC0057K,Nome não encontrado
