componente,unidade,Valor por 100g,Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1514,242,BRC0022N,Nome não encontrado
Energia,kcal,357,57,BRC0022N,Nome não encontrado
Umidade,g,"8,96","1,43",BRC0022N,Nome não encontrado
Carboidrato total,g,"87,1","13,9",BRC0022N,Nome não encontrado
Carboidrato disponível,g,"83,9","13,4",BRC0022N,Nome não encontrado
Proteína,g,"1,75","0,28",BRC0022N,Nome não encontrado
Lipídios,g,"0,88","0,14",BRC0022N,Nome não encontrado
Fibra alimentar,g,"3,21","0,51",BRC0022N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0022N,Nome não encontrado
Cinzas,g,"1,34","0,21",BRC0022N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,03",BRC0022N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,05",BRC0022N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,07",BRC0022N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0022N,Nome não encontrado
Cálcio,mg,"49,8","7,97",BRC0022N,Nome não encontrado
Ferro,mg,"0,05","0,01",BRC0022N,Nome não encontrado
Sódio,mg,1793,286,BRC0022N,Nome não encontrado
Magnésio,mg,"17,3","2,76",BRC0022N,Nome não encontrado
Fósforo,mg,"12,2","1,95",BRC0022N,Nome não encontrado
Potássio,mg,"18,3","2,93",BRC0022N,Nome não encontrado
Manganês,mg,,,BRC0022N,Nome não encontrado
Zinco,mg,"0,19","0,03",BRC0022N,Nome não encontrado
Cobre,mg,,,BRC0022N,Nome não encontrado
Selênio,mcg,,,BRC0022N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0022N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0022N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0022N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,07",BRC0022N,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0022N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0022N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0022N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0022N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0022N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0022N,Nome não encontrado
Proteína vegetal,g,,,BRC0022N,Nome não encontrado
Proteína animal,g,,,BRC0022N,Nome não encontrado
