componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,524,262,BRC0152T,Nome não encontrado
Energia,kcal,124,62,BRC0152T,Nome não encontrado
Umidade,g,"65,6","32,8",BRC0152T,Nome não encontrado
Carboidrato total,g,"18,1","9,03",BRC0152T,Nome não encontrado
Carboidrato disponível,g,"14,1","7,04",BRC0152T,Nome não encontrado
Proteína,g,"13,6","6,82",BRC0152T,Nome não encontrado
Lipídios,g,"0,58","0,29",BRC0152T,Nome não encontrado
Fibra alimentar,g,"3,98","1,99",BRC0152T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0152T,Nome não encontrado
Cinzas,g,"2,11","1,05",BRC0152T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0152T,Nome não encontrado
Ácidos graxos saturados,g,"0,14","0,07",BRC0152T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,19","0,10",BRC0152T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,25",BRC0152T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0152T,Nome não encontrado
Cálcio,mg,"40,3","20,1",BRC0152T,Nome não encontrado
Ferro,mg,"3,05","1,52",BRC0152T,Nome não encontrado
Sódio,mg,202,101,BRC0152T,Nome não encontrado
Magnésio,mg,"18,8","9,42",BRC0152T,Nome não encontrado
Fósforo,mg,156,"78,2",BRC0152T,Nome não encontrado
Potássio,mg,"88,0","44,0",BRC0152T,Nome não encontrado
Manganês,mg,"0,07","0,03",BRC0152T,Nome não encontrado
Zinco,mg,"0,92","0,46",BRC0152T,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0152T,Nome não encontrado
Selênio,mcg,"0,08","0,04",BRC0152T,Nome não encontrado
Vitamina A (RE),mcg,"25,8","12,9",BRC0152T,Nome não encontrado
Vitamina A (RAE),mcg,"17,3","8,64",BRC0152T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0152T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,10",BRC0152T,Nome não encontrado
Tiamina,mg,"0,16","0,08",BRC0152T,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0152T,Nome não encontrado
Niacina,mg,"0,61","0,31",BRC0152T,Nome não encontrado
Vitamina B6,mg,"0,07","0,03",BRC0152T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0152T,Nome não encontrado
Vitamina C,mg,"8,73","4,37",BRC0152T,Nome não encontrado
Equivalente de folato,mcg,"40,0","20,0",BRC0152T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0152T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0152T,Nome não encontrado
Gordura de adição,g,-,-,BRC0152T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0152T,Nome não encontrado
Proteína animal,g,-,-,BRC0152T,Nome não encontrado
